provider,doses,filed_date,report_date
Community Vaccinator,1102456,2022-04-26,2022-04-28
Specialty,286949,2022-04-26,2022-04-28
Community Vaccinator,1102111,2022-04-25,2022-04-27
Primary Care,2859470,2022-04-25,2022-04-27
Pharmacy,3628594,2022-04-25,2022-04-27
Public Health,933573,2022-04-25,2022-04-27
Hospital,538064,2022-04-25,2022-04-27
Specialty,286760,2022-04-25,2022-04-27
Other,318504,2022-04-25,2022-04-27
Tribal Health Sites,101084,2022-04-25,2022-04-27
Pharmacy,3625657,2022-04-24,2022-04-26
Primary Care,2854643,2022-04-24,2022-04-26
Hospital,537815,2022-04-24,2022-04-26
Tribal Health Sites,101058,2022-04-24,2022-04-26
Public Health,933485,2022-04-24,2022-04-26
Other,318330,2022-04-24,2022-04-26
Community Vaccinator,1101927,2022-04-24,2022-04-26
Specialty,286633,2022-04-24,2022-04-26
Pharmacy,3612595,2022-04-21,2022-04-25
Primary Care,2850631,2022-04-21,2022-04-25
Hospital,537715,2022-04-21,2022-04-25
Tribal Health Sites,100935,2022-04-21,2022-04-25
Public Health,933250,2022-04-21,2022-04-25
Other,318111,2022-04-21,2022-04-25
Community Vaccinator,1101784,2022-04-21,2022-04-25
Specialty,286563,2022-04-21,2022-04-25
Pharmacy,3605928,2022-04-20,2022-04-22
Primary Care,2845129,2022-04-20,2022-04-22
Hospital,537520,2022-04-20,2022-04-22
Tribal Health Sites,100854,2022-04-20,2022-04-22
Public Health,932850,2022-04-20,2022-04-22
Other,317792,2022-04-20,2022-04-22
Community Vaccinator,1101607,2022-04-20,2022-04-22
Specialty,286388,2022-04-20,2022-04-22
Pharmacy,3599095,2022-04-19,2022-04-21
Primary Care,2839921,2022-04-19,2022-04-21
Hospital,537221,2022-04-19,2022-04-21
Tribal Health Sites,100724,2022-04-19,2022-04-21
Public Health,932170,2022-04-19,2022-04-21
Other,317485,2022-04-19,2022-04-21
Community Vaccinator,1101376,2022-04-19,2022-04-21
Specialty,286195,2022-04-19,2022-04-21
Primary Care,2834162,2022-04-18,2022-04-20
Pharmacy,3591767,2022-04-18,2022-04-20
Public Health,931839,2022-04-18,2022-04-20
Community Vaccinator,1101214,2022-04-18,2022-04-20
Hospital,537021,2022-04-18,2022-04-20
Other,317208,2022-04-18,2022-04-20
Specialty,286006,2022-04-18,2022-04-20
Tribal Health Sites,100611,2022-04-18,2022-04-20
Pharmacy,3588815,2022-04-17,2022-04-19
Primary Care,2829218,2022-04-17,2022-04-19
Hospital,536883,2022-04-17,2022-04-19
Tribal Health Sites,100570,2022-04-17,2022-04-19
Public Health,931807,2022-04-17,2022-04-19
Other,316999,2022-04-17,2022-04-19
Community Vaccinator,1100933,2022-04-17,2022-04-19
Specialty,285897,2022-04-17,2022-04-19
Pharmacy,3574946,2022-04-14,2022-04-18
Primary Care,2825095,2022-04-14,2022-04-18
Hospital,536792,2022-04-14,2022-04-18
Tribal Health Sites,100449,2022-04-14,2022-04-18
Public Health,931857,2022-04-14,2022-04-18
Other,316760,2022-04-14,2022-04-18
Community Vaccinator,1100692,2022-04-14,2022-04-18
Specialty,285899,2022-04-14,2022-04-18
Pharmacy,3574946,2022-04-14,2022-04-16
Primary Care,2825095,2022-04-14,2022-04-16
Hospital,536792,2022-04-14,2022-04-16
Tribal Health Sites,100449,2022-04-14,2022-04-16
Public Health,931857,2022-04-14,2022-04-16
Other,316760,2022-04-14,2022-04-16
Community Vaccinator,1100692,2022-04-14,2022-04-16
Specialty,285899,2022-04-14,2022-04-16
Pharmacy,3568366,2022-04-13,2022-04-15
Primary Care,2819842,2022-04-13,2022-04-15
Hospital,536643,2022-04-13,2022-04-15
Tribal Health Sites,100366,2022-04-13,2022-04-15
Public Health,931643,2022-04-13,2022-04-15
Other,316476,2022-04-13,2022-04-15
Community Vaccinator,1100530,2022-04-13,2022-04-15
Specialty,285716,2022-04-13,2022-04-15
Hospital,536449,2022-04-12,2022-04-14
Primary Care,2814784,2022-04-12,2022-04-14
Pharmacy,3559442,2022-04-12,2022-04-14
Community Vaccinator,1100335,2022-04-12,2022-04-14
Other,316269,2022-04-12,2022-04-14
Specialty,285551,2022-04-12,2022-04-14
Public Health,931216,2022-04-12,2022-04-14
Tribal Health Sites,100242,2022-04-12,2022-04-14
Hospital,536223,2022-04-11,2022-04-13
Community Vaccinator,1100238,2022-04-11,2022-04-13
Pharmacy,3551302,2022-04-11,2022-04-13
Public Health,930870,2022-04-11,2022-04-13
Specialty,285347,2022-04-11,2022-04-13
Primary Care,2809323,2022-04-11,2022-04-13
Tribal Health Sites,100116,2022-04-11,2022-04-13
Other,316051,2022-04-11,2022-04-13
Pharmacy,3546714,2022-04-10,2022-04-12
Primary Care,2804069,2022-04-10,2022-04-12
Hospital,536090,2022-04-10,2022-04-12
Tribal Health Sites,100078,2022-04-10,2022-04-12
Public Health,930792,2022-04-10,2022-04-12
Other,315667,2022-04-10,2022-04-12
Community Vaccinator,1099952,2022-04-10,2022-04-12
Specialty,285216,2022-04-10,2022-04-12
Pharmacy,3527458,2022-04-07,2022-04-11
Primary Care,2799426,2022-04-07,2022-04-11
Hospital,535885,2022-04-07,2022-04-11
Tribal Health Sites,99941,2022-04-07,2022-04-11
Public Health,930544,2022-04-07,2022-04-11
Other,315474,2022-04-07,2022-04-11
Community Vaccinator,1099557,2022-04-07,2022-04-11
Specialty,285107,2022-04-07,2022-04-11
Pharmacy,3520873,2022-04-06,2022-04-08
Primary Care,2795128,2022-04-06,2022-04-08
Hospital,535772,2022-04-06,2022-04-08
Tribal Health Sites,99905,2022-04-06,2022-04-08
Public Health,930402,2022-04-06,2022-04-08
Other,315336,2022-04-06,2022-04-08
Community Vaccinator,1099441,2022-04-06,2022-04-08
Specialty,284955,2022-04-06,2022-04-08
Pharmacy,3515285,2022-04-05,2022-04-07
Primary Care,2791251,2022-04-05,2022-04-07
Hospital,535604,2022-04-05,2022-04-07
Tribal Health Sites,99859,2022-04-05,2022-04-07
Public Health,930232,2022-04-05,2022-04-07
Other,315117,2022-04-05,2022-04-07
Community Vaccinator,1099204,2022-04-05,2022-04-07
Specialty,284838,2022-04-05,2022-04-07
Pharmacy,3509724,2022-04-04,2022-04-06
Primary Care,2787819,2022-04-04,2022-04-06
Hospital,535592,2022-04-04,2022-04-06
Tribal Health Sites,99814,2022-04-04,2022-04-06
Public Health,930201,2022-04-04,2022-04-06
Other,314907,2022-04-04,2022-04-06
Community Vaccinator,1099158,2022-04-04,2022-04-06
Specialty,284728,2022-04-04,2022-04-06
Hospital,535496,2022-04-03,2022-04-05
Community Vaccinator,1098868,2022-04-03,2022-04-05
Pharmacy,3505861,2022-04-03,2022-04-05
Public Health,930006,2022-04-03,2022-04-05
Specialty,284633,2022-04-03,2022-04-05
Primary Care,2784233,2022-04-03,2022-04-05
Tribal Health Sites,99774,2022-04-03,2022-04-05
Other,314833,2022-04-03,2022-04-05
Primary Care,2780939,2022-03-31,2022-04-04
Pharmacy,3487148,2022-03-31,2022-04-04
Hospital,535285,2022-03-31,2022-04-04
Other,314662,2022-03-31,2022-04-04
Specialty,284553,2022-03-31,2022-04-04
Community Vaccinator,1098392,2022-03-31,2022-04-04
Tribal Health Sites,99667,2022-03-31,2022-04-04
Public Health,929907,2022-03-31,2022-04-04
Pharmacy,3480966,2022-03-30,2022-04-01
Primary Care,2778031,2022-03-30,2022-04-01
Hospital,534756,2022-03-30,2022-04-01
Tribal Health Sites,99619,2022-03-30,2022-04-01
Public Health,927377,2022-03-30,2022-04-01
Other,313066,2022-03-30,2022-04-01
Community Vaccinator,1098245,2022-03-30,2022-04-01
Specialty,284425,2022-03-30,2022-04-01
Pharmacy,3479385,2022-03-28,2022-03-30
Primary Care,2774704,2022-03-28,2022-03-30
Hospital,534721,2022-03-28,2022-03-30
Tribal Health Sites,99528,2022-03-28,2022-03-30
Public Health,927092,2022-03-28,2022-03-30
Other,312838,2022-03-28,2022-03-30
Community Vaccinator,1097819,2022-03-28,2022-03-30
Specialty,284318,2022-03-28,2022-03-30
Primary Care,2772905,2022-03-27,2022-03-29
Pharmacy,3478430,2022-03-27,2022-03-29
Public Health,927034,2022-03-27,2022-03-29
Community Vaccinator,1097644,2022-03-27,2022-03-29
Hospital,534673,2022-03-27,2022-03-29
Other,312706,2022-03-27,2022-03-29
Specialty,284238,2022-03-27,2022-03-29
Tribal Health Sites,99512,2022-03-27,2022-03-29
Pharmacy,3475509,2022-03-24,2022-03-28
Primary Care,2770886,2022-03-24,2022-03-28
Hospital,534561,2022-03-24,2022-03-28
Tribal Health Sites,99395,2022-03-24,2022-03-28
Public Health,926926,2022-03-24,2022-03-28
Other,312537,2022-03-24,2022-03-28
Community Vaccinator,1097394,2022-03-24,2022-03-28
Specialty,284176,2022-03-24,2022-03-28
Pharmacy,3474154,2022-03-23,2022-03-25
Primary Care,2769100,2022-03-23,2022-03-25
Hospital,534475,2022-03-23,2022-03-25
Tribal Health Sites,99355,2022-03-23,2022-03-25
Public Health,926787,2022-03-23,2022-03-25
Other,312397,2022-03-23,2022-03-25
Community Vaccinator,1097300,2022-03-23,2022-03-25
Specialty,284082,2022-03-23,2022-03-25
Primary Care,2767543,2022-03-22,2022-03-24
Community Vaccinator,1097139,2022-03-22,2022-03-24
Public Health,926534,2022-03-22,2022-03-24
Pharmacy,3472976,2022-03-22,2022-03-24
Hospital,534391,2022-03-22,2022-03-24
Other,312246,2022-03-22,2022-03-24
Specialty,283987,2022-03-22,2022-03-24
Tribal Health Sites,99300,2022-03-22,2022-03-24
Pharmacy,3472871,2022-03-21,2022-03-23
Hospital,534449,2022-03-21,2022-03-23
Public Health,926368,2022-03-21,2022-03-23
Primary Care,2766161,2022-03-21,2022-03-23
Other,312137,2022-03-21,2022-03-23
Community Vaccinator,1097079,2022-03-21,2022-03-23
Tribal Health Sites,99268,2022-03-21,2022-03-23
Specialty,283979,2022-03-21,2022-03-23
Pharmacy,3472011,2022-03-20,2022-03-22
Hospital,534392,2022-03-20,2022-03-22
Public Health,926323,2022-03-20,2022-03-22
Primary Care,2764315,2022-03-20,2022-03-22
Other,312011,2022-03-20,2022-03-22
Community Vaccinator,1096828,2022-03-20,2022-03-22
Tribal Health Sites,99258,2022-03-20,2022-03-22
Specialty,283903,2022-03-20,2022-03-22
Primary Care,2762024,2022-03-17,2022-03-21
Pharmacy,3469268,2022-03-17,2022-03-21
Community Vaccinator,1096442,2022-03-17,2022-03-21
Hospital,534306,2022-03-17,2022-03-21
Other,311957,2022-03-17,2022-03-21
Specialty,283832,2022-03-17,2022-03-21
Public Health,926162,2022-03-17,2022-03-21
Tribal Health Sites,99172,2022-03-17,2022-03-21
Pharmacy,3468017,2022-03-16,2022-03-18
Primary Care,2760223,2022-03-16,2022-03-18
Hospital,534248,2022-03-16,2022-03-18
Tribal Health Sites,98734,2022-03-16,2022-03-18
Public Health,926045,2022-03-16,2022-03-18
Other,311816,2022-03-16,2022-03-18
Community Vaccinator,1096274,2022-03-16,2022-03-18
Specialty,283746,2022-03-16,2022-03-18
Primary Care,2758607,2022-03-15,2022-03-17
Pharmacy,3466751,2022-03-15,2022-03-17
Community Vaccinator,1096106,2022-03-15,2022-03-17
Hospital,534159,2022-03-15,2022-03-17
Other,311540,2022-03-15,2022-03-17
Specialty,283611,2022-03-15,2022-03-17
Public Health,925933,2022-03-15,2022-03-17
Tribal Health Sites,98686,2022-03-15,2022-03-17
Primary Care,2757289,2022-03-14,2022-03-16
Hospital,534230,2022-03-14,2022-03-16
Pharmacy,3466650,2022-03-14,2022-03-16
Other,311419,2022-03-14,2022-03-16
Specialty,283572,2022-03-14,2022-03-16
Community Vaccinator,1096142,2022-03-14,2022-03-16
Tribal Health Sites,98666,2022-03-14,2022-03-16
Public Health,925735,2022-03-14,2022-03-16
Pharmacy,3465805,2022-03-13,2022-03-15
Primary Care,2755354,2022-03-13,2022-03-15
Hospital,534154,2022-03-13,2022-03-15
Tribal Health Sites,98655,2022-03-13,2022-03-15
Public Health,925628,2022-03-13,2022-03-15
Other,311335,2022-03-13,2022-03-15
Community Vaccinator,1096030,2022-03-13,2022-03-15
Specialty,283498,2022-03-13,2022-03-15
Pharmacy,3462371,2022-03-10,2022-03-14
Primary Care,2752898,2022-03-10,2022-03-14
Hospital,534039,2022-03-10,2022-03-14
Tribal Health Sites,98567,2022-03-10,2022-03-14
Public Health,925458,2022-03-10,2022-03-14
Other,311185,2022-03-10,2022-03-14
Community Vaccinator,1095650,2022-03-10,2022-03-14
Specialty,283403,2022-03-10,2022-03-14
Hospital,533955,2022-03-09,2022-03-11
Primary Care,2750780,2022-03-09,2022-03-11
Pharmacy,3461267,2022-03-09,2022-03-11
Community Vaccinator,1095586,2022-03-09,2022-03-11
Other,311022,2022-03-09,2022-03-11
Specialty,283294,2022-03-09,2022-03-11
Public Health,925198,2022-03-09,2022-03-11
Tribal Health Sites,98542,2022-03-09,2022-03-11
Pharmacy,3459944,2022-03-08,2022-03-10
Primary Care,2763100,2022-03-08,2022-03-10
Hospital,519873,2022-03-08,2022-03-10
Tribal Health Sites,98470,2022-03-08,2022-03-10
Public Health,925048,2022-03-08,2022-03-10
Other,310845,2022-03-08,2022-03-10
Community Vaccinator,1095396,2022-03-08,2022-03-10
Specialty,282926,2022-03-08,2022-03-10
Pharmacy,3459452,2022-03-07,2022-03-09
Primary Care,2761438,2022-03-07,2022-03-09
Hospital,519909,2022-03-07,2022-03-09
Tribal Health Sites,98435,2022-03-07,2022-03-09
Public Health,924869,2022-03-07,2022-03-09
Other,310766,2022-03-07,2022-03-09
Community Vaccinator,1095427,2022-03-07,2022-03-09
Specialty,282867,2022-03-07,2022-03-09
Pharmacy,3458479,2022-03-06,2022-03-08
Primary Care,2759233,2022-03-06,2022-03-08
Hospital,519840,2022-03-06,2022-03-08
Tribal Health Sites,98422,2022-03-06,2022-03-08
Public Health,924735,2022-03-06,2022-03-08
Other,310653,2022-03-06,2022-03-08
Community Vaccinator,1095010,2022-03-06,2022-03-08
Specialty,282774,2022-03-06,2022-03-08
Pharmacy,3453952,2022-03-03,2022-03-05
Primary Care,2756092,2022-03-03,2022-03-05
Hospital,519556,2022-03-03,2022-03-05
Tribal Health Sites,98308,2022-03-03,2022-03-05
Public Health,924594,2022-03-03,2022-03-05
Other,309508,2022-03-03,2022-03-05
Community Vaccinator,1094547,2022-03-03,2022-03-05
Specialty,282710,2022-03-03,2022-03-05
Pharmacy,3452436,2022-03-02,2022-03-04
Primary Care,2753651,2022-03-02,2022-03-04
Hospital,519470,2022-03-02,2022-03-04
Tribal Health Sites,98277,2022-03-02,2022-03-04
Public Health,924423,2022-03-02,2022-03-04
Other,309357,2022-03-02,2022-03-04
Community Vaccinator,1094399,2022-03-02,2022-03-04
Specialty,282573,2022-03-02,2022-03-04
Pharmacy,3450824,2022-03-01,2022-03-03
Hospital,519341,2022-03-01,2022-03-03
Public Health,924250,2022-03-01,2022-03-03
Primary Care,2751450,2022-03-01,2022-03-03
Other,309191,2022-03-01,2022-03-03
Community Vaccinator,1093973,2022-03-01,2022-03-03
Tribal Health Sites,98213,2022-03-01,2022-03-03
Specialty,282477,2022-03-01,2022-03-03
Primary Care,2749229,2022-02-28,2022-03-02
Community Vaccinator,1093989,2022-02-28,2022-03-02
Public Health,924019,2022-02-28,2022-03-02
Pharmacy,3449387,2022-02-28,2022-03-02
Hospital,519326,2022-02-28,2022-03-02
Specialty,282452,2022-02-28,2022-03-02
Other,309040,2022-02-28,2022-03-02
Tribal Health Sites,98145,2022-02-28,2022-03-02
Primary Care,2746378,2022-02-27,2022-03-01
Pharmacy,3447469,2022-02-27,2022-03-01
Community Vaccinator,1093133,2022-02-27,2022-03-01
Hospital,519226,2022-02-27,2022-03-01
Other,308493,2022-02-27,2022-03-01
Specialty,282357,2022-02-27,2022-03-01
Public Health,923818,2022-02-27,2022-03-01
Tribal Health Sites,98089,2022-02-27,2022-03-01
Hospital,519006,2022-02-24,2022-02-26
Primary Care,2742333,2022-02-24,2022-02-26
Pharmacy,3440936,2022-02-24,2022-02-26
Community Vaccinator,1092487,2022-02-24,2022-02-26
Other,308210,2022-02-24,2022-02-26
Specialty,282223,2022-02-24,2022-02-26
Public Health,923324,2022-02-24,2022-02-26
Tribal Health Sites,97922,2022-02-24,2022-02-26
Primary Care,2738947,2022-02-23,2022-02-25
Community Vaccinator,1092310,2022-02-23,2022-02-25
Pharmacy,3439068,2022-02-23,2022-02-25
Public Health,922983,2022-02-23,2022-02-25
Hospital,518836,2022-02-23,2022-02-25
Specialty,282021,2022-02-23,2022-02-25
Other,308098,2022-02-23,2022-02-25
Tribal Health Sites,97830,2022-02-23,2022-02-25
Primary Care,2736795,2022-02-22,2022-02-24
Pharmacy,3438125,2022-02-22,2022-02-24
Public Health,922596,2022-02-22,2022-02-24
Specialty,282002,2022-02-22,2022-02-24
Hospital,518800,2022-02-22,2022-02-24
Other,307865,2022-02-22,2022-02-24
Community Vaccinator,1092129,2022-02-22,2022-02-24
Tribal Health Sites,97754,2022-02-22,2022-02-24
Pharmacy,3435651,2022-02-21,2022-02-23
Public Health,922509,2022-02-21,2022-02-23
Hospital,518672,2022-02-21,2022-02-23
Primary Care,2733949,2022-02-21,2022-02-23
Community Vaccinator,1091951,2022-02-21,2022-02-23
Tribal Health Sites,97738,2022-02-21,2022-02-23
Other,307367,2022-02-21,2022-02-23
Specialty,281873,2022-02-21,2022-02-23
Hospital,518222,2022-02-16,2022-02-18
Primary Care,2722168,2022-02-16,2022-02-18
Pharmacy,3423621,2022-02-16,2022-02-18
Community Vaccinator,1090527,2022-02-16,2022-02-18
Other,306471,2022-02-16,2022-02-18
Specialty,281456,2022-02-16,2022-02-18
Public Health,921490,2022-02-16,2022-02-18
Tribal Health Sites,97541,2022-02-16,2022-02-18
Primary Care,2719506,2022-02-15,2022-02-17
Community Vaccinator,1090231,2022-02-15,2022-02-17
Pharmacy,3421331,2022-02-15,2022-02-17
Public Health,920963,2022-02-15,2022-02-17
Hospital,518140,2022-02-15,2022-02-17
Specialty,281417,2022-02-15,2022-02-17
Other,305549,2022-02-15,2022-02-17
Tribal Health Sites,97422,2022-02-15,2022-02-17
Primary Care,2715776,2022-02-14,2022-02-16
Hospital,517951,2022-02-14,2022-02-16
Pharmacy,3419156,2022-02-14,2022-02-16
Specialty,281215,2022-02-14,2022-02-16
Community Vaccinator,1090008,2022-02-14,2022-02-16
Tribal Health Sites,97324,2022-02-14,2022-02-16
Public Health,920795,2022-02-14,2022-02-16
Other,305255,2022-02-14,2022-02-16
Pharmacy,3417676,2022-02-13,2022-02-15
Hospital,517814,2022-02-13,2022-02-15
Tribal Health Sites,97258,2022-02-13,2022-02-15
Primary Care,2712611,2022-02-13,2022-02-15
Public Health,920615,2022-02-13,2022-02-15
Other,305032,2022-02-13,2022-02-15
Community Vaccinator,1089599,2022-02-13,2022-02-15
Specialty,281119,2022-02-13,2022-02-15
Pharmacy,3407736,2022-02-10,2022-02-14
Hospital,517602,2022-02-10,2022-02-14
Primary Care,2707597,2022-02-10,2022-02-14
Tribal Health Sites,97142,2022-02-10,2022-02-14
Public Health,920167,2022-02-10,2022-02-14
Other,304186,2022-02-10,2022-02-14
Community Vaccinator,1088771,2022-02-10,2022-02-14
Specialty,280873,2022-02-10,2022-02-14
Primary Care,2703268,2022-02-09,2022-02-11
Community Vaccinator,1088202,2022-02-09,2022-02-11
Public Health,919707,2022-02-09,2022-02-11
Pharmacy,3404325,2022-02-09,2022-02-11
Hospital,517383,2022-02-09,2022-02-11
Specialty,280653,2022-02-09,2022-02-11
Other,303844,2022-02-09,2022-02-11
Tribal Health Sites,97049,2022-02-09,2022-02-11
Primary Care,2699279,2022-02-08,2022-02-10
Community Vaccinator,1087816,2022-02-08,2022-02-10
Public Health,919150,2022-02-08,2022-02-10
Pharmacy,3399629,2022-02-08,2022-02-10
Hospital,517157,2022-02-08,2022-02-10
Specialty,280484,2022-02-08,2022-02-10
Other,303057,2022-02-08,2022-02-10
Tribal Health Sites,96913,2022-02-08,2022-02-10
Hospital,517109,2022-02-07,2022-02-09
Community Vaccinator,1087595,2022-02-07,2022-02-09
Pharmacy,3397111,2022-02-07,2022-02-09
Public Health,918758,2022-02-07,2022-02-09
Specialty,280403,2022-02-07,2022-02-09
Primary Care,2695345,2022-02-07,2022-02-09
Tribal Health Sites,96817,2022-02-07,2022-02-09
Other,302841,2022-02-07,2022-02-09
Primary Care,2691022,2022-02-06,2022-02-08
Pharmacy,3394857,2022-02-06,2022-02-08
Hospital,516979,2022-02-06,2022-02-08
Specialty,280292,2022-02-06,2022-02-08
Community Vaccinator,1086343,2022-02-06,2022-02-08
Tribal Health Sites,96773,2022-02-06,2022-02-08
Public Health,918545,2022-02-06,2022-02-08
Other,302455,2022-02-06,2022-02-08
Pharmacy,3379741,2022-02-03,2022-02-05
Hospital,516741,2022-02-03,2022-02-05
Public Health,917849,2022-02-03,2022-02-05
Primary Care,2685010,2022-02-03,2022-02-05
Other,302109,2022-02-03,2022-02-05
Community Vaccinator,1084190,2022-02-03,2022-02-05
Tribal Health Sites,96578,2022-02-03,2022-02-05
Specialty,280074,2022-02-03,2022-02-05
Pharmacy,3374712,2022-02-02,2022-02-04
Hospital,516583,2022-02-02,2022-02-04
Primary Care,2679547,2022-02-02,2022-02-04
Public Health,917233,2022-02-02,2022-02-04
Other,301587,2022-02-02,2022-02-04
Specialty,279816,2022-02-02,2022-02-04
Tribal Health Sites,96492,2022-02-02,2022-02-04
Community Vaccinator,1083994,2022-02-02,2022-02-04
Pharmacy,3367936,2022-02-01,2022-02-03
Hospital,516301,2022-02-01,2022-02-03
Tribal Health Sites,96351,2022-02-01,2022-02-03
Primary Care,2674412,2022-02-01,2022-02-03
Public Health,916378,2022-02-01,2022-02-03
Other,300730,2022-02-01,2022-02-03
Community Vaccinator,1083617,2022-02-01,2022-02-03
Specialty,279628,2022-02-01,2022-02-03
Pharmacy,3363050,2022-01-31,2022-02-02
Hospital,516237,2022-01-31,2022-02-02
Primary Care,2669809,2022-01-31,2022-02-02
Tribal Health Sites,96253,2022-01-31,2022-02-02
Public Health,916012,2022-01-31,2022-02-02
Other,300611,2022-01-31,2022-02-02
Community Vaccinator,1083248,2022-01-31,2022-02-02
Specialty,279533,2022-01-31,2022-02-02
Pharmacy,3359185,2022-01-30,2022-02-01
Hospital,516065,2022-01-30,2022-02-01
Tribal Health Sites,96180,2022-01-30,2022-02-01
Primary Care,2664322,2022-01-30,2022-02-01
Public Health,915863,2022-01-30,2022-02-01
Other,300193,2022-01-30,2022-02-01
Community Vaccinator,1082126,2022-01-30,2022-02-01
Specialty,279311,2022-01-30,2022-02-01
Pharmacy,3338712,2022-01-26,2022-01-28
Hospital,515513,2022-01-26,2022-01-28
Tribal Health Sites,95857,2022-01-26,2022-01-28
Primary Care,2651444,2022-01-26,2022-01-28
Public Health,913690,2022-01-26,2022-01-28
Other,297381,2022-01-26,2022-01-28
Community Vaccinator,1079826,2022-01-26,2022-01-28
Specialty,278748,2022-01-26,2022-01-28
Pharmacy,3331543,2022-01-25,2022-01-27
Hospital,515230,2022-01-25,2022-01-27
Tribal Health Sites,95714,2022-01-25,2022-01-27
Primary Care,2645816,2022-01-25,2022-01-27
Public Health,912098,2022-01-25,2022-01-27
Other,296784,2022-01-25,2022-01-27
Community Vaccinator,1079142,2022-01-25,2022-01-27
Specialty,278574,2022-01-25,2022-01-27
Primary Care,2640384,2022-01-24,2022-01-26
Community Vaccinator,1078684,2022-01-24,2022-01-26
Pharmacy,3326684,2022-01-24,2022-01-26
Public Health,911895,2022-01-24,2022-01-26
Hospital,515088,2022-01-24,2022-01-26
Specialty,278429,2022-01-24,2022-01-26
Other,295798,2022-01-24,2022-01-26
Tribal Health Sites,95616,2022-01-24,2022-01-26
Primary Care,2634434,2022-01-23,2022-01-25
Pharmacy,3321989,2022-01-23,2022-01-25
Public Health,911498,2022-01-23,2022-01-25
Specialty,278287,2022-01-23,2022-01-25
Hospital,514921,2022-01-23,2022-01-25
Other,295327,2022-01-23,2022-01-25
Community Vaccinator,1077976,2022-01-23,2022-01-25
Tribal Health Sites,95507,2022-01-23,2022-01-25
Primary Care,2625797,2022-01-20,2022-01-24
Pharmacy,3307995,2022-01-20,2022-01-24
Public Health,910335,2022-01-20,2022-01-24
Hospital,514603,2022-01-20,2022-01-24
Other,294573,2022-01-20,2022-01-24
Specialty,278062,2022-01-20,2022-01-24
Community Vaccinator,1076033,2022-01-20,2022-01-24
Tribal Health Sites,95247,2022-01-20,2022-01-24
Pharmacy,3297559,2022-01-19,2022-01-21
Hospital,514129,2022-01-19,2022-01-21
Tribal Health Sites,95080,2022-01-19,2022-01-21
Primary Care,2618883,2022-01-19,2022-01-21
Public Health,909379,2022-01-19,2022-01-21
Other,294147,2022-01-19,2022-01-21
Community Vaccinator,1074695,2022-01-19,2022-01-21
Specialty,277774,2022-01-19,2022-01-21
Primary Care,2612938,2022-01-18,2022-01-20
Pharmacy,3290460,2022-01-18,2022-01-20
Public Health,907976,2022-01-18,2022-01-20
Community Vaccinator,1074388,2022-01-18,2022-01-20
Specialty,277731,2022-01-18,2022-01-20
Hospital,513868,2022-01-18,2022-01-20
Other,293799,2022-01-18,2022-01-20
Tribal Health Sites,94849,2022-01-18,2022-01-20
Primary Care,2605972,2022-01-17,2022-01-19
Community Vaccinator,1073417,2022-01-17,2022-01-19
Public Health,907771,2022-01-17,2022-01-19
Pharmacy,3282647,2022-01-17,2022-01-19
Hospital,513521,2022-01-17,2022-01-19
Specialty,277516,2022-01-17,2022-01-19
Tribal Health Sites,94744,2022-01-17,2022-01-19
Other,292787,2022-01-17,2022-01-19
Pharmacy,3246751,2022-01-13,2022-01-18
Hospital,512907,2022-01-13,2022-01-18
Primary Care,2589989,2022-01-13,2022-01-18
Tribal Health Sites,94440,2022-01-13,2022-01-18
Public Health,906894,2022-01-13,2022-01-18
Other,291639,2022-01-13,2022-01-18
Community Vaccinator,1069553,2022-01-13,2022-01-18
Specialty,277049,2022-01-13,2022-01-18
Pharmacy,3237558,2022-01-12,2022-01-14
Hospital,512334,2022-01-12,2022-01-14
Tribal Health Sites,94281,2022-01-12,2022-01-14
Primary Care,2580943,2022-01-12,2022-01-14
Public Health,905731,2022-01-12,2022-01-14
Other,291095,2022-01-12,2022-01-14
Community Vaccinator,1068503,2022-01-12,2022-01-14
Specialty,276715,2022-01-12,2022-01-14
Pharmacy,3227776,2022-01-11,2022-01-13
Hospital,511842,2022-01-11,2022-01-13
Primary Care,2572675,2022-01-11,2022-01-13
Tribal Health Sites,94033,2022-01-11,2022-01-13
Public Health,904590,2022-01-11,2022-01-13
Other,290558,2022-01-11,2022-01-13
Community Vaccinator,1067005,2022-01-11,2022-01-13
Specialty,276533,2022-01-11,2022-01-13
Pharmacy,3220262,2022-01-10,2022-01-12
Public Health,903275,2022-01-10,2022-01-12
Hospital,511586,2022-01-10,2022-01-12
Primary Care,2564695,2022-01-10,2022-01-12
Community Vaccinator,1066043,2022-01-10,2022-01-12
Tribal Health Sites,93901,2022-01-10,2022-01-12
Other,290162,2022-01-10,2022-01-12
Specialty,276349,2022-01-10,2022-01-12
Pharmacy,3214258,2022-01-09,2022-01-11
Hospital,511414,2022-01-09,2022-01-11
Public Health,902675,2022-01-09,2022-01-11
Primary Care,2556685,2022-01-09,2022-01-11
Other,289661,2022-01-09,2022-01-11
Community Vaccinator,1064328,2022-01-09,2022-01-11
Tribal Health Sites,93827,2022-01-09,2022-01-11
Specialty,276203,2022-01-09,2022-01-11
Hospital,511000,2022-01-06,2022-01-10
Community Vaccinator,1057680,2022-01-06,2022-01-10
Pharmacy,3186793,2022-01-06,2022-01-10
Public Health,899979,2022-01-06,2022-01-10
Specialty,275893,2022-01-06,2022-01-10
