category,doses,filed_date,report_date
Total Unknown/missing vaccine type,3202,2022-04-14,2022-04-16
Total vaccine doses administered,9659582,2022-04-13,2022-04-15
Total Pfizer doses administered,5842373,2022-04-13,2022-04-15
Total Moderna doses administered,3473322,2022-04-13,2022-04-15
Total Johnson & Johnson doses administered,340689,2022-04-13,2022-04-15
Total Unknown/missing vaccine type,3198,2022-04-13,2022-04-15
Total vaccine doses administered,9644288,2022-04-12,2022-04-14
Total Pfizer doses administered,5833278,2022-04-12,2022-04-14
Total Moderna doses administered,3467173,2022-04-12,2022-04-14
Total Johnson & Johnson doses administered,340646,2022-04-12,2022-04-14
Total Unknown/missing vaccine type,3191,2022-04-12,2022-04-14
Total vaccine doses administered,9629470,2022-04-11,2022-04-13
Total Pfizer doses administered,5824204,2022-04-11,2022-04-13
Total Moderna doses administered,3461478,2022-04-11,2022-04-13
Total Johnson & Johnson doses administered,340603,2022-04-11,2022-04-13
Total Unknown/missing vaccine type,3185,2022-04-11,2022-04-13
Total vaccine doses administered,9618578,2022-04-10,2022-04-12
Total Pfizer doses administered,5817351,2022-04-10,2022-04-12
Total Moderna doses administered,3457481,2022-04-10,2022-04-12
Total Johnson & Johnson doses administered,340571,2022-04-10,2022-04-12
Total Unknown/missing vaccine type,3175,2022-04-10,2022-04-12
Total vaccine doses administered,9593392,2022-04-07,2022-04-11
Total Pfizer doses administered,5802588,2022-04-07,2022-04-11
Total Moderna doses administered,3447169,2022-04-07,2022-04-11
Total Johnson & Johnson doses administered,340461,2022-04-07,2022-04-11
Total Unknown/missing vaccine type,3174,2022-04-07,2022-04-11
Total vaccine doses administered,9581812,2022-04-06,2022-04-08
Total Pfizer doses administered,5795336,2022-04-06,2022-04-08
Total Moderna doses administered,3442882,2022-04-06,2022-04-08
Total Johnson & Johnson doses administered,340428,2022-04-06,2022-04-08
Total Unknown/missing vaccine type,3166,2022-04-06,2022-04-08
Total vaccine doses administered,9571390,2022-04-05,2022-04-07
Total Pfizer doses administered,5788828,2022-04-05,2022-04-07
Total Moderna doses administered,3439018,2022-04-05,2022-04-07
Total Johnson & Johnson doses administered,340388,2022-04-05,2022-04-07
Total Unknown/missing vaccine type,3156,2022-04-05,2022-04-07
Total vaccine doses administered,9561943,2022-04-04,2022-04-06
Total Pfizer doses administered,5782532,2022-04-04,2022-04-06
Total Moderna doses administered,3435856,2022-04-04,2022-04-06
Total Johnson & Johnson doses administered,340406,2022-04-04,2022-04-06
Total Unknown/missing vaccine type,3149,2022-04-04,2022-04-06
Total vaccine doses administered,9553704,2022-04-03,2022-04-05
Total Pfizer doses administered,5777332,2022-04-03,2022-04-05
Total Moderna doses administered,3432861,2022-04-03,2022-04-05
Total Johnson & Johnson doses administered,340371,2022-04-03,2022-04-05
Total Unknown/missing vaccine type,3140,2022-04-03,2022-04-05
Total vaccine doses administered,9530553,2022-03-31,2022-04-04
Total Pfizer doses administered,5763566,2022-03-31,2022-04-04
Total Moderna doses administered,3423554,2022-03-31,2022-04-04
Total Johnson & Johnson doses administered,340300,2022-03-31,2022-04-04
Total Unknown/missing vaccine type,3133,2022-03-31,2022-04-04
Total vaccine doses administered,9516485,2022-03-30,2022-04-01
Total Pfizer doses administered,5754616,2022-03-30,2022-04-01
Total Moderna doses administered,3418802,2022-03-30,2022-04-01
Total Johnson & Johnson doses administered,339956,2022-03-30,2022-04-01
Total Unknown/missing vaccine type,3111,2022-03-30,2022-04-01
Total vaccine doses administered,9511741,2022-03-29,2022-03-31
Total Pfizer doses administered,5751325,2022-03-29,2022-03-31
Total Moderna doses administered,3417418,2022-03-29,2022-03-31
Total Johnson & Johnson doses administered,339900,2022-03-29,2022-03-31
Total Unknown/missing vaccine type,3098,2022-03-29,2022-03-31
Total vaccine doses administered,9510405,2022-03-28,2022-03-30
Total Pfizer doses administered,5749881,2022-03-28,2022-03-30
Total Moderna doses administered,3417520,2022-03-28,2022-03-30
Total Johnson & Johnson doses administered,339912,2022-03-28,2022-03-30
Total Unknown/missing vaccine type,3092,2022-03-28,2022-03-30
Total vaccine doses administered,9507142,2022-03-27,2022-03-29
Total Pfizer doses administered,5747662,2022-03-27,2022-03-29
Total Moderna doses administered,3416544,2022-03-27,2022-03-29
Total Johnson & Johnson doses administered,339865,2022-03-27,2022-03-29
Total Unknown/missing vaccine type,3071,2022-03-27,2022-03-29
Total vaccine doses administered,9501384,2022-03-24,2022-03-28
Total Pfizer doses administered,5743558,2022-03-24,2022-03-28
Total Moderna doses administered,3415007,2022-03-24,2022-03-28
Total Johnson & Johnson doses administered,339759,2022-03-24,2022-03-28
Total Unknown/missing vaccine type,3060,2022-03-24,2022-03-28
Total vaccine doses administered,9497650,2022-03-23,2022-03-25
Total Pfizer doses administered,5740974,2022-03-23,2022-03-25
Total Moderna doses administered,3413928,2022-03-23,2022-03-25
Total Johnson & Johnson doses administered,339703,2022-03-23,2022-03-25
Total Unknown/missing vaccine type,3045,2022-03-23,2022-03-25
Total vaccine doses administered,9494116,2022-03-22,2022-03-24
Total Pfizer doses administered,5738528,2022-03-22,2022-03-24
Total Moderna doses administered,3412901,2022-03-22,2022-03-24
Total Johnson & Johnson doses administered,339654,2022-03-22,2022-03-24
Total Unknown/missing vaccine type,3033,2022-03-22,2022-03-24
Total vaccine doses administered,9492312,2022-03-21,2022-03-23
Total Pfizer doses administered,5736691,2022-03-21,2022-03-23
Total Moderna doses administered,3412931,2022-03-21,2022-03-23
Total Johnson & Johnson doses administered,339664,2022-03-21,2022-03-23
Total Unknown/missing vaccine type,3026,2022-03-21,2022-03-23
Total vaccine doses administered,9489041,2022-03-20,2022-03-22
Total Pfizer doses administered,5734267,2022-03-20,2022-03-22
Total Moderna doses administered,3412138,2022-03-20,2022-03-22
Total Johnson & Johnson doses administered,339616,2022-03-20,2022-03-22
Total Unknown/missing vaccine type,3020,2022-03-20,2022-03-22
Total vaccine doses administered,9483163,2022-03-17,2022-03-21
Total Pfizer doses administered,5729946,2022-03-17,2022-03-21
Total Moderna doses administered,3410639,2022-03-17,2022-03-21
Total Johnson & Johnson doses administered,339573,2022-03-17,2022-03-21
Total Unknown/missing vaccine type,3005,2022-03-17,2022-03-21
Total vaccine doses administered,9479103,2022-03-16,2022-03-18
Total Pfizer doses administered,5727138,2022-03-16,2022-03-18
Total Moderna doses administered,3409463,2022-03-16,2022-03-18
Total Johnson & Johnson doses administered,339510,2022-03-16,2022-03-18
Total Unknown/missing vaccine type,2992,2022-03-16,2022-03-18
Total vaccine doses administered,9475393,2022-03-15,2022-03-17
Total Pfizer doses administered,5724538,2022-03-15,2022-03-17
Total Moderna doses administered,3408391,2022-03-15,2022-03-17
Total Johnson & Johnson doses administered,339475,2022-03-15,2022-03-17
Total Unknown/missing vaccine type,2989,2022-03-15,2022-03-17
Total vaccine doses administered,9473703,2022-03-14,2022-03-16
Total Pfizer doses administered,5722939,2022-03-14,2022-03-16
Total Moderna doses administered,3408345,2022-03-14,2022-03-16
Total Johnson & Johnson doses administered,339471,2022-03-14,2022-03-16
Total Unknown/missing vaccine type,2948,2022-03-14,2022-03-16
Total vaccine doses administered,9470459,2022-03-13,2022-03-15
Total Pfizer doses administered,5720533,2022-03-13,2022-03-15
Total Moderna doses administered,3407563,2022-03-13,2022-03-15
Total Johnson & Johnson doses administered,339424,2022-03-13,2022-03-15
Total Unknown/missing vaccine type,2939,2022-03-13,2022-03-15
Total vaccine doses administered,9463571,2022-03-10,2022-03-14
Total Pfizer doses administered,5715509,2022-03-10,2022-03-14
Total Moderna doses administered,3405793,2022-03-10,2022-03-14
Total Johnson & Johnson doses administered,339334,2022-03-10,2022-03-14
Total Unknown/missing vaccine type,2935,2022-03-10,2022-03-14
Total vaccine doses administered,9459644,2022-03-09,2022-03-11
Total Pfizer doses administered,5712645,2022-03-09,2022-03-11
Total Moderna doses administered,3404778,2022-03-09,2022-03-11
Total Johnson & Johnson doses administered,339291,2022-03-09,2022-03-11
Total Unknown/missing vaccine type,2930,2022-03-09,2022-03-11
Total vaccine doses administered,9455602,2022-03-08,2022-03-10
Total Pfizer doses administered,5709683,2022-03-08,2022-03-10
Total Moderna doses administered,3403759,2022-03-08,2022-03-10
Total Johnson & Johnson doses administered,339239,2022-03-08,2022-03-10
Total Unknown/missing vaccine type,2921,2022-03-08,2022-03-10
Total vaccine doses administered,9453163,2022-03-07,2022-03-09
Total Pfizer doses administered,5707330,2022-03-07,2022-03-09
Total Moderna doses administered,3403690,2022-03-07,2022-03-09
Total Johnson & Johnson doses administered,339234,2022-03-07,2022-03-09
Total Unknown/missing vaccine type,2909,2022-03-07,2022-03-09
Total vaccine doses administered,9449146,2022-03-06,2022-03-08
Total Pfizer doses administered,5704246,2022-03-06,2022-03-08
Total Moderna doses administered,3402821,2022-03-06,2022-03-08
Total Johnson & Johnson doses administered,339172,2022-03-06,2022-03-08
Total Unknown/missing vaccine type,2907,2022-03-06,2022-03-08
Total vaccine doses administered,9439267,2022-03-03,2022-03-05
Total Pfizer doses administered,5696957,2022-03-03,2022-03-05
Total Moderna doses administered,3400381,2022-03-03,2022-03-05
Total Johnson & Johnson doses administered,339029,2022-03-03,2022-03-05
Total Unknown/missing vaccine type,2900,2022-03-03,2022-03-05
Total vaccine doses administered,9434586,2022-03-02,2022-03-04
Total Pfizer doses administered,5693667,2022-03-02,2022-03-04
Total Moderna doses administered,3399047,2022-03-02,2022-03-04
Total Johnson & Johnson doses administered,338974,2022-03-02,2022-03-04
Total Unknown/missing vaccine type,2898,2022-03-02,2022-03-04
Total vaccine doses administered,9429719,2022-03-01,2022-03-03
Total Pfizer doses administered,5690187,2022-03-01,2022-03-03
Total Moderna doses administered,3397719,2022-03-01,2022-03-03
Total Johnson & Johnson doses administered,338920,2022-03-01,2022-03-03
Total Unknown/missing vaccine type,2893,2022-03-01,2022-03-03
Total vaccine doses administered,9425587,2022-02-28,2022-03-02
Total Pfizer doses administered,5686702,2022-02-28,2022-03-02
Total Moderna doses administered,3397110,2022-02-28,2022-03-02
Total Johnson & Johnson doses administered,338895,2022-02-28,2022-03-02
Total Unknown/missing vaccine type,2880,2022-02-28,2022-03-02
Total vaccine doses administered,9418963,2022-02-27,2022-03-01
Total Pfizer doses administered,5681530,2022-02-27,2022-03-01
Total Moderna doses administered,3395711,2022-02-27,2022-03-01
Total Johnson & Johnson doses administered,338848,2022-02-27,2022-03-01
Total Unknown/missing vaccine type,2874,2022-02-27,2022-03-01
Total vaccine doses administered,9406441,2022-02-24,2022-02-26
Total Pfizer doses administered,5672294,2022-02-24,2022-02-26
Total Moderna doses administered,3392546,2022-02-24,2022-02-26
Total Johnson & Johnson doses administered,338738,2022-02-24,2022-02-26
Total Unknown/missing vaccine type,2863,2022-02-24,2022-02-26
Total vaccine doses administered,9400093,2022-02-23,2022-02-25
Total Pfizer doses administered,5667635,2022-02-23,2022-02-25
Total Moderna doses administered,3390935,2022-02-23,2022-02-25
Total Johnson & Johnson doses administered,338679,2022-02-23,2022-02-25
Total Unknown/missing vaccine type,2844,2022-02-23,2022-02-25
Total vaccine doses administered,9396066,2022-02-22,2022-02-24
Total Pfizer doses administered,5664150,2022-02-22,2022-02-24
Total Moderna doses administered,3390436,2022-02-22,2022-02-24
Total Johnson & Johnson doses administered,338644,2022-02-22,2022-02-24
Total Unknown/missing vaccine type,2836,2022-02-22,2022-02-24
Total vaccine doses administered,9389710,2022-02-21,2022-02-23
Total Pfizer doses administered,5659212,2022-02-21,2022-02-23
Total Moderna doses administered,3389087,2022-02-21,2022-02-23
Total Johnson & Johnson doses administered,338587,2022-02-21,2022-02-23
Total Unknown/missing vaccine type,2824,2022-02-21,2022-02-23
Total vaccine doses administered,9361496,2022-02-16,2022-02-18
Total Pfizer doses administered,5637802,2022-02-16,2022-02-18
Total Moderna doses administered,3382560,2022-02-16,2022-02-18
Total Johnson & Johnson doses administered,338352,2022-02-16,2022-02-18
Total Unknown/missing vaccine type,2782,2022-02-16,2022-02-18
Total vaccine doses administered,9354559,2022-02-15,2022-02-17
Total Pfizer doses administered,5632047,2022-02-15,2022-02-17
Total Moderna doses administered,3381435,2022-02-15,2022-02-17
Total Johnson & Johnson doses administered,338300,2022-02-15,2022-02-17
Total Unknown/missing vaccine type,2777,2022-02-15,2022-02-17
Total vaccine doses administered,9347480,2022-02-14,2022-02-16
Total Pfizer doses administered,5626782,2022-02-14,2022-02-16
Total Moderna doses administered,3379712,2022-02-14,2022-02-16
Total Johnson & Johnson doses administered,338211,2022-02-14,2022-02-16
Total Unknown/missing vaccine type,2775,2022-02-14,2022-02-16
Total vaccine doses administered,9341724,2022-02-13,2022-02-15
Total Pfizer doses administered,5622483,2022-02-13,2022-02-15
Total Moderna doses administered,3378320,2022-02-13,2022-02-15
Total Johnson & Johnson doses administered,338155,2022-02-13,2022-02-15
Total Unknown/missing vaccine type,2766,2022-02-13,2022-02-15
Total vaccine doses administered,9324074,2022-02-10,2022-02-14
Total Pfizer doses administered,5609450,2022-02-10,2022-02-14
Total Moderna doses administered,3373943,2022-02-10,2022-02-14
Total Johnson & Johnson doses administered,337954,2022-02-10,2022-02-14
Total Unknown/missing vaccine type,2727,2022-02-10,2022-02-14
Total vaccine doses administered,9314431,2022-02-09,2022-02-11
Total Pfizer doses administered,5602450,2022-02-09,2022-02-11
Total Moderna doses administered,3371409,2022-02-09,2022-02-11
Total Johnson & Johnson doses administered,337855,2022-02-09,2022-02-11
Total Unknown/missing vaccine type,2717,2022-02-09,2022-02-11
Total vaccine doses administered,9303485,2022-02-08,2022-02-10
Total Pfizer doses administered,5594585,2022-02-08,2022-02-10
Total Moderna doses administered,3368494,2022-02-08,2022-02-10
Total Johnson & Johnson doses administered,337710,2022-02-08,2022-02-10
Total Unknown/missing vaccine type,2696,2022-02-08,2022-02-10
Total vaccine doses administered,9295979,2022-02-07,2022-02-09
Total Pfizer doses administered,5588718,2022-02-07,2022-02-09
Total Moderna doses administered,3366920,2022-02-07,2022-02-09
Total Johnson & Johnson doses administered,337662,2022-02-07,2022-02-09
Total Unknown/missing vaccine type,2679,2022-02-07,2022-02-09
Total vaccine doses administered,9287266,2022-02-06,2022-02-08
Total Pfizer doses administered,5582131,2022-02-06,2022-02-08
Total Moderna doses administered,3364866,2022-02-06,2022-02-08
Total Johnson & Johnson doses administered,337599,2022-02-06,2022-02-08
Total Unknown/missing vaccine type,2670,2022-02-06,2022-02-08
Total vaccine doses administered,9262292,2022-02-03,2022-02-05
Total Pfizer doses administered,5563947,2022-02-03,2022-02-05
Total Moderna doses administered,3358321,2022-02-03,2022-02-05
Total Johnson & Johnson doses administered,337373,2022-02-03,2022-02-05
Total Unknown/missing vaccine type,2651,2022-02-03,2022-02-05
Total vaccine doses administered,9249964,2022-02-02,2022-02-04
Total Pfizer doses administered,5554780,2022-02-02,2022-02-04
Total Moderna doses administered,3355314,2022-02-02,2022-02-04
Total Johnson & Johnson doses administered,337237,2022-02-02,2022-02-04
Total Unknown/missing vaccine type,2633,2022-02-02,2022-02-04
Total vaccine doses administered,9235353,2022-02-01,2022-02-03
Total Pfizer doses administered,5544370,2022-02-01,2022-02-03
Total Moderna doses administered,3351266,2022-02-01,2022-02-03
Total Johnson & Johnson doses administered,337099,2022-02-01,2022-02-03
Total Unknown/missing vaccine type,2618,2022-02-01,2022-02-03
Total vaccine doses administered,9224753,2022-01-31,2022-02-02
Total Pfizer doses administered,5536076,2022-01-31,2022-02-02
Total Moderna doses administered,3349209,2022-01-31,2022-02-02
Total Johnson & Johnson doses administered,336887,2022-01-31,2022-02-02
Total Unknown/missing vaccine type,2581,2022-01-31,2022-02-02
Total vaccine doses administered,9213245,2022-01-30,2022-02-01
Total Pfizer doses administered,5527578,2022-01-30,2022-02-01
Total Moderna doses administered,3346346,2022-01-30,2022-02-01
Total Johnson & Johnson doses administered,336745,2022-01-30,2022-02-01
Total Unknown/missing vaccine type,2576,2022-01-30,2022-02-01
Total vaccine doses administered,9171171,2022-01-26,2022-01-28
Total Pfizer doses administered,5496952,2022-01-26,2022-01-28
Total Moderna doses administered,3335396,2022-01-26,2022-01-28
Total Johnson & Johnson doses administered,336331,2022-01-26,2022-01-28
Total Unknown/missing vaccine type,2492,2022-01-26,2022-01-28
Total vaccine doses administered,9154901,2022-01-25,2022-01-27
Total Pfizer doses administered,5486032,2022-01-25,2022-01-27
Total Moderna doses administered,3330256,2022-01-25,2022-01-27
Total Johnson & Johnson doses administered,336146,2022-01-25,2022-01-27
Total Unknown/missing vaccine type,2467,2022-01-25,2022-01-27
Total vaccine doses administered,9142578,2022-01-24,2022-01-26
Total Pfizer doses administered,5476461,2022-01-24,2022-01-26
Total Moderna doses administered,3327624,2022-01-24,2022-01-26
Total Johnson & Johnson doses administered,336035,2022-01-24,2022-01-26
Total Unknown/missing vaccine type,2458,2022-01-24,2022-01-26
Total vaccine doses administered,9129939,2022-01-23,2022-01-25
Total Pfizer doses administered,5467351,2022-01-23,2022-01-25
Total Moderna doses administered,3324240,2022-01-23,2022-01-25
Total Johnson & Johnson doses administered,335894,2022-01-23,2022-01-25
Total Unknown/missing vaccine type,2454,2022-01-23,2022-01-25
Total vaccine doses administered,9102645,2022-01-20,2022-01-24
Total Pfizer doses administered,5448826,2022-01-20,2022-01-24
Total Moderna doses administered,3315777,2022-01-20,2022-01-24
Total Johnson & Johnson doses administered,335650,2022-01-20,2022-01-24
Total Unknown/missing vaccine type,2392,2022-01-20,2022-01-24
Total vaccine doses administered,9081646,2022-01-19,2022-01-21
Total Pfizer doses administered,5434167,2022-01-19,2022-01-21
Total Moderna doses administered,3309804,2022-01-19,2022-01-21
Total Johnson & Johnson doses administered,335299,2022-01-19,2022-01-21
Total Unknown/missing vaccine type,2376,2022-01-19,2022-01-21
Total vaccine doses administered,9066009,2022-01-18,2022-01-20
Total Pfizer doses administered,5422791,2022-01-18,2022-01-20
Total Moderna doses administered,3305694,2022-01-18,2022-01-20
Total Johnson & Johnson doses administered,335168,2022-01-18,2022-01-20
Total Unknown/missing vaccine type,2356,2022-01-18,2022-01-20
Total vaccine doses administered,9048375,2022-01-17,2022-01-19
Total Pfizer doses administered,5410584,2022-01-17,2022-01-19
Total Moderna doses administered,3300508,2022-01-17,2022-01-19
Total Johnson & Johnson doses administered,334935,2022-01-17,2022-01-19
Total Unknown/missing vaccine type,2348,2022-01-17,2022-01-19
Total vaccine doses administered,8989222,2022-01-13,2022-01-18
Total Pfizer doses administered,5369766,2022-01-13,2022-01-18
Total Moderna doses administered,3283158,2022-01-13,2022-01-18
Total Johnson & Johnson doses administered,334033,2022-01-13,2022-01-18
Total Unknown/missing vaccine type,2265,2022-01-13,2022-01-18
Total vaccine doses administered,8967160,2022-01-12,2022-01-14
Total Pfizer doses administered,5354679,2022-01-12,2022-01-14
Total Moderna doses administered,3276452,2022-01-12,2022-01-14
Total Johnson & Johnson doses administered,333777,2022-01-12,2022-01-14
Total Unknown/missing vaccine type,2252,2022-01-12,2022-01-14
Total vaccine doses administered,8945012,2022-01-11,2022-01-13
Total Pfizer doses administered,5339322,2022-01-11,2022-01-13
Total Moderna doses administered,3269942,2022-01-11,2022-01-13
Total Johnson & Johnson doses administered,333511,2022-01-11,2022-01-13
Total Unknown/missing vaccine type,2237,2022-01-11,2022-01-13
Total vaccine doses administered,8926273,2022-01-10,2022-01-12
Total Pfizer doses administered,5326469,2022-01-10,2022-01-12
Total Moderna doses administered,3264310,2022-01-10,2022-01-12
Total Johnson & Johnson doses administered,333279,2022-01-10,2022-01-12
Total Unknown/missing vaccine type,2215,2022-01-10,2022-01-12
Total vaccine doses administered,8909051,2022-01-09,2022-01-11
Total Pfizer doses administered,5314553,2022-01-09,2022-01-11
Total Moderna doses administered,3259217,2022-01-09,2022-01-11
Total Johnson & Johnson doses administered,333079,2022-01-09,2022-01-11
Total Unknown/missing vaccine type,2202,2022-01-09,2022-01-11
Total vaccine doses administered,8849903,2022-01-06,2022-01-10
Total Pfizer doses administered,5274672,2022-01-06,2022-01-10
Total Moderna doses administered,3240895,2022-01-06,2022-01-10
Total Johnson & Johnson doses administered,332175,2022-01-06,2022-01-10
Total Unknown/missing vaccine type,2161,2022-01-06,2022-01-10
Total vaccine doses administered,8825025,2022-01-05,2022-01-07
Total Pfizer doses administered,5257882,2022-01-05,2022-01-07
Total Moderna doses administered,3233191,2022-01-05,2022-01-07
Total Johnson & Johnson doses administered,331807,2022-01-05,2022-01-07
Total Unknown/missing vaccine type,2145,2022-01-05,2022-01-07
Total vaccine doses administered,8802024,2022-01-04,2022-01-06
Total Pfizer doses administered,5242387,2022-01-04,2022-01-06
Total Moderna doses administered,3226087,2022-01-04,2022-01-06
Total Johnson & Johnson doses administered,331433,2022-01-04,2022-01-06
Total Unknown/missing vaccine type,2117,2022-01-04,2022-01-06
Total vaccine doses administered,8783387,2022-01-03,2022-01-05
Total Pfizer doses administered,5230282,2022-01-03,2022-01-05
Total Moderna doses administered,3219801,2022-01-03,2022-01-05
Total Johnson & Johnson doses administered,331199,2022-01-03,2022-01-05
Total Unknown/missing vaccine type,2105,2022-01-03,2022-01-05
Total vaccine doses administered,8765099,2022-01-02,2022-01-04
Total Pfizer doses administered,5217652,2022-01-02,2022-01-04
Total Moderna doses administered,3214381,2022-01-02,2022-01-04
Total Johnson & Johnson doses administered,330970,2022-01-02,2022-01-04
Total Unknown/missing vaccine type,2096,2022-01-02,2022-01-04
Total vaccine doses administered,8711845,2021-12-29,2022-01-03
Total Pfizer doses administered,5184252,2021-12-29,2022-01-03
Total Moderna doses administered,3195420,2021-12-29,2022-01-03
Total Johnson & Johnson doses administered,330090,2021-12-29,2022-01-03
Total Unknown/missing vaccine type,2083,2021-12-29,2022-01-03
Total vaccine doses administered,8685646,2021-12-28,2021-12-30
Total Pfizer doses administered,5166498,2021-12-28,2021-12-30
Total Moderna doses administered,3187280,2021-12-28,2021-12-30
Total Johnson & Johnson doses administered,329801,2021-12-28,2021-12-30
Total Unknown/missing vaccine type,2067,2021-12-28,2021-12-30
Total vaccine doses administered,8662707,2021-12-27,2021-12-29
Total Pfizer doses administered,5151053,2021-12-27,2021-12-29
Total Moderna doses administered,3180055,2021-12-27,2021-12-29
Total Johnson & Johnson doses administered,329555,2021-12-27,2021-12-29
Total Unknown/missing vaccine type,2044,2021-12-27,2021-12-29
Total vaccine doses administered,8639736,2021-12-26,2021-12-28
Total Pfizer doses administered,5136174,2021-12-26,2021-12-28
Total Moderna doses administered,3172243,2021-12-26,2021-12-28
Total Johnson & Johnson doses administered,329287,2021-12-26,2021-12-28
Total Unknown/missing vaccine type,2032,2021-12-26,2021-12-28
Total vaccine doses administered,8597292,2021-12-22,2021-12-27
Total Pfizer doses administered,5109540,2021-12-22,2021-12-27
Total Moderna doses administered,3157246,2021-12-22,2021-12-27
Total Johnson & Johnson doses administered,328472,2021-12-22,2021-12-27
Total Unknown/missing vaccine type,2034,2021-12-22,2021-12-27
Total vaccine doses administered,8564704,2021-12-21,2021-12-23
Total Pfizer doses administered,5088692,2021-12-21,2021-12-23
Total Moderna doses administered,3145923,2021-12-21,2021-12-23
Total Johnson & Johnson doses administered,328085,2021-12-21,2021-12-23
Total Unknown/missing vaccine type,2004,2021-12-21,2021-12-23
Total vaccine doses administered,8505668,2021-12-19,2021-12-21
Total Pfizer doses administered,5051582,2021-12-19,2021-12-21
Total Moderna doses administered,3124839,2021-12-19,2021-12-21
Total Johnson & Johnson doses administered,327274,2021-12-19,2021-12-21
Total Unknown/missing vaccine type,1973,2021-12-19,2021-12-21
Total vaccine doses administered,8439859,2021-12-16,2021-12-20
Total Pfizer doses administered,5010643,2021-12-16,2021-12-20
Total Moderna doses administered,3101120,2021-12-16,2021-12-20
Total Johnson & Johnson doses administered,326134,2021-12-16,2021-12-20
Total Unknown/missing vaccine type,1962,2021-12-16,2021-12-20
Total vaccine doses administered,8407069,2021-12-15,2021-12-17
Total Pfizer doses administered,4990023,2021-12-15,2021-12-17
Total Moderna doses administered,3089447,2021-12-15,2021-12-17
Total Johnson & Johnson doses administered,325650,2021-12-15,2021-12-17
Total Unknown/missing vaccine type,1949,2021-12-15,2021-12-17
Total vaccine doses administered,8369482,2021-12-14,2021-12-16
Total Pfizer doses administered,4966789,2021-12-14,2021-12-16
Total Moderna doses administered,3075771,2021-12-14,2021-12-16
Total Johnson & Johnson doses administered,324984,2021-12-14,2021-12-16
Total Unknown/missing vaccine type,1938,2021-12-14,2021-12-16
Total vaccine doses administered,8337504,2021-12-13,2021-12-15
Total Pfizer doses administered,4946110,2021-12-13,2021-12-15
Total Moderna doses administered,3065066,2021-12-13,2021-12-15
Total Johnson & Johnson doses administered,324398,2021-12-13,2021-12-15
Total Unknown/missing vaccine type,1930,2021-12-13,2021-12-15
Total vaccine doses administered,8303611,2021-12-12,2021-12-14
Total Pfizer doses administered,4924046,2021-12-12,2021-12-14
Total Moderna doses administered,3053872,2021-12-12,2021-12-14
Total Johnson & Johnson doses administered,323772,2021-12-12,2021-12-14
Total Unknown/missing vaccine type,1921,2021-12-12,2021-12-14
Total vaccine doses administered,8221069,2021-12-09,2021-12-13
Total Pfizer doses administered,4871963,2021-12-09,2021-12-13
Total Moderna doses administered,3025005,2021-12-09,2021-12-13
Total Johnson & Johnson doses administered,322195,2021-12-09,2021-12-13
Total Unknown/missing vaccine type,1906,2021-12-09,2021-12-13
Total vaccine doses administered,8194196,2021-12-08,2021-12-10
Total Pfizer doses administered,4853717,2021-12-08,2021-12-10
Total Moderna doses administered,3016839,2021-12-08,2021-12-10
Total Johnson & Johnson doses administered,321735,2021-12-08,2021-12-10
Total Unknown/missing vaccine type,1905,2021-12-08,2021-12-10
Total vaccine doses administered,8147096,2021-12-07,2021-12-09
Total Pfizer doses administered,4824736,2021-12-07,2021-12-09
Total Moderna doses administered,2999652,2021-12-07,2021-12-09
Total Johnson & Johnson doses administered,320810,2021-12-07,2021-12-09
Total Unknown/missing vaccine type,1898,2021-12-07,2021-12-09
Total vaccine doses administered,8113096,2021-12-06,2021-12-08
Total Pfizer doses administered,4803664,2021-12-06,2021-12-08
Total Moderna doses administered,2987358,2021-12-06,2021-12-08
Total Johnson & Johnson doses administered,320170,2021-12-06,2021-12-08
Total Unknown/missing vaccine type,1904,2021-12-06,2021-12-08
Total vaccine doses administered,8080760,2021-12-05,2021-12-07
Total Pfizer doses administered,4782498,2021-12-05,2021-12-07
Total Moderna doses administered,2976720,2021-12-05,2021-12-07
Total Johnson & Johnson doses administered,319647,2021-12-05,2021-12-07
Total Unknown/missing vaccine type,1895,2021-12-05,2021-12-07
Total vaccine doses administered,7996585,2021-12-02,2021-12-06
Total Pfizer doses administered,4731766,2021-12-02,2021-12-06
Total Moderna doses administered,2944851,2021-12-02,2021-12-06
Total Johnson & Johnson doses administered,318072,2021-12-02,2021-12-06
Total Unknown/missing vaccine type,1896,2021-12-02,2021-12-06
Total vaccine doses administered,7938605,2021-12-01,2021-12-03
Total Pfizer doses administered,4698253,2021-12-01,2021-12-03
Total Moderna doses administered,2921807,2021-12-01,2021-12-03
Total Johnson & Johnson doses administered,316653,2021-12-01,2021-12-03
Total Unknown/missing vaccine type,1892,2021-12-01,2021-12-03
Total vaccine doses administered,7894561,2021-11-30,2021-12-02
Total Pfizer doses administered,4671738,2021-11-30,2021-12-02
Total Moderna doses administered,2905358,2021-11-30,2021-12-02
Total Johnson & Johnson doses administered,315589,2021-11-30,2021-12-02
Total Unknown/missing vaccine type,1876,2021-11-30,2021-12-02
Total vaccine doses administered,7857144,2021-11-29,2021-12-01
Total Pfizer doses administered,4649036,2021-11-29,2021-12-01
Total Moderna doses administered,2891373,2021-11-29,2021-12-01
Total Johnson & Johnson doses administered,314873,2021-11-29,2021-12-01
Total Unknown/missing vaccine type,1862,2021-11-29,2021-12-01
Total vaccine doses administered,7825008,2021-11-28,2021-11-30
