age_group,year,week,case_definition,white,black_african_american,american_indian,asian_pacific_islander,multiracial,hispanic,web_date
65+,2021,43,Completed vaccine series,0.946,1,0.7979999999999999,1,0.904,0.86,2022-06-06
11-May,2021,43,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,43,Completed vaccine series,0.623,0.52,0.46399999999999997,0.7140000000000001,0.309,0.534,2022-06-06
45-64,2021,43,Completed vaccine series,0.664,0.8009999999999999,0.607,0.905,0.624,0.779,2022-06-06
19-44,2021,43,Completed vaccine series,0.591,0.53,0.47100000000000003,0.75,0.38,0.616,2022-06-06
18-Dec,2021,43,Completed vaccine series,0.48100000000000004,0.444,0.44299999999999995,0.755,0.248,0.49700000000000005,2022-06-06
12+,2021,43,Completed vaccine series,0.679,0.617,0.541,0.81,0.402,0.64,2022-06-06
65+,2021,42,At least one vaccine dose,0.97,1,0.821,1,0.9309999999999999,0.8959999999999999,2022-06-06
11-May,2021,42,At least one vaccine dose,0.001,0,0,0.001,0,0,2022-06-06
5+,2021,42,At least one vaccine dose,0.645,0.5710000000000001,0.506,0.746,0.326,0.5770000000000001,2022-06-06
45-64,2021,42,At least one vaccine dose,0.6809999999999999,0.8490000000000001,0.65,0.9329999999999999,0.644,0.816,2022-06-06
19-44,2021,42,At least one vaccine dose,0.619,0.598,0.527,0.79,0.40399999999999997,0.674,2022-06-06
18-Dec,2021,42,At least one vaccine dose,0.509,0.507,0.501,0.805,0.267,0.55,2022-06-06
12+,2021,42,At least one vaccine dose,0.703,0.677,0.59,0.848,0.425,0.6920000000000001,2022-06-06
65+,2021,42,Completed vaccine series,0.9440000000000001,1,0.7959999999999999,1,0.902,0.858,2022-06-06
45-64,2021,42,Completed vaccine series,0.662,0.797,0.604,0.903,0.622,0.7759999999999999,2022-06-06
19-44,2021,42,Completed vaccine series,0.588,0.524,0.465,0.747,0.37799999999999995,0.611,2022-06-06
18-Dec,2021,42,Completed vaccine series,0.478,0.43799999999999994,0.43799999999999994,0.75,0.24600000000000002,0.49200000000000005,2022-06-06
12+,2021,42,Completed vaccine series,0.677,0.611,0.537,0.807,0.4,0.636,2022-06-06
65+,2021,41,At least one vaccine dose,0.968,1,0.8190000000000001,1,0.929,0.893,2022-06-06
11-May,2021,41,At least one vaccine dose,0.001,0,0,0.001,0,0,2022-06-06
5+,2021,41,At least one vaccine dose,0.643,0.5660000000000001,0.503,0.7440000000000001,0.324,0.574,2022-06-06
45-64,2021,41,At least one vaccine dose,0.679,0.845,0.647,0.9309999999999999,0.642,0.8140000000000001,2022-06-06
19-44,2021,41,At least one vaccine dose,0.616,0.591,0.523,0.787,0.40299999999999997,0.669,2022-06-06
18-Dec,2021,41,At least one vaccine dose,0.505,0.5,0.495,0.799,0.265,0.545,2022-06-06
12+,2021,41,At least one vaccine dose,0.7,0.6709999999999999,0.586,0.845,0.423,0.688,2022-06-06
65+,2021,41,Completed vaccine series,0.943,1,0.795,1,0.9009999999999999,0.856,2022-06-06
11-May,2021,41,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,41,Completed vaccine series,0.619,0.51,0.456,0.708,0.305,0.527,2022-06-06
45-64,2021,41,Completed vaccine series,0.66,0.792,0.601,0.9009999999999999,0.62,0.773,2022-06-06
19-44,2021,41,Completed vaccine series,0.585,0.517,0.46,0.743,0.376,0.606,2022-06-06
18-Dec,2021,41,Completed vaccine series,0.475,0.431,0.431,0.7440000000000001,0.244,0.486,2022-06-06
12+,2021,41,Completed vaccine series,0.675,0.605,0.532,0.804,0.39799999999999996,0.632,2022-06-06
65+,2021,40,At least one vaccine dose,0.966,1,0.8170000000000001,1,0.9259999999999999,0.89,2022-06-06
11-May,2021,40,At least one vaccine dose,0.001,0,0,0.001,0,0,2022-06-06
5+,2021,40,At least one vaccine dose,0.6409999999999999,0.561,0.499,0.741,0.32299999999999995,0.57,2022-06-06
45-64,2021,40,At least one vaccine dose,0.677,0.841,0.645,0.9279999999999999,0.64,0.81,2022-06-06
19-44,2021,40,At least one vaccine dose,0.613,0.584,0.517,0.784,0.4,0.664,2022-06-06
18-Dec,2021,40,At least one vaccine dose,0.503,0.495,0.488,0.794,0.263,0.54,2022-06-06
12+,2021,40,At least one vaccine dose,0.698,0.665,0.5820000000000001,0.841,0.42,0.6829999999999999,2022-06-06
65+,2021,40,Completed vaccine series,0.9420000000000001,1,0.794,1,0.9,0.8540000000000001,2022-06-06
11-May,2021,40,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,40,Completed vaccine series,0.617,0.505,0.451,0.705,0.304,0.522,2022-06-06
45-64,2021,40,Completed vaccine series,0.6579999999999999,0.787,0.597,0.9,0.618,0.77,2022-06-06
19-44,2021,40,Completed vaccine series,0.5820000000000001,0.51,0.45299999999999996,0.74,0.373,0.6,2022-06-06
18-Dec,2021,40,Completed vaccine series,0.47100000000000003,0.425,0.42,0.737,0.242,0.48,2022-06-06
12+,2021,40,Completed vaccine series,0.672,0.599,0.526,0.8,0.396,0.626,2022-06-06
65+,2021,39,At least one vaccine dose,0.963,1,0.815,1,0.922,0.887,2022-06-06
11-May,2021,39,At least one vaccine dose,0.001,0,0,0.001,0,0,2022-06-06
5+,2021,39,At least one vaccine dose,0.638,0.556,0.495,0.738,0.321,0.5660000000000001,2022-06-06
45-64,2021,39,At least one vaccine dose,0.6759999999999999,0.8370000000000001,0.6409999999999999,0.9259999999999999,0.638,0.807,2022-06-06
19-44,2021,39,At least one vaccine dose,0.61,0.5770000000000001,0.512,0.7809999999999999,0.39799999999999996,0.659,2022-06-06
18-Dec,2021,39,At least one vaccine dose,0.5,0.489,0.48200000000000004,0.789,0.261,0.535,2022-06-06
12+,2021,39,At least one vaccine dose,0.695,0.66,0.5770000000000001,0.838,0.418,0.6779999999999999,2022-06-06
65+,2021,39,Completed vaccine series,0.941,1,0.7909999999999999,1,0.899,0.852,2022-06-06
11-May,2021,39,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,39,Completed vaccine series,0.614,0.499,0.445,0.701,0.302,0.518,2022-06-06
45-64,2021,39,Completed vaccine series,0.6559999999999999,0.782,0.5920000000000001,0.897,0.616,0.767,2022-06-06
19-44,2021,39,Completed vaccine series,0.578,0.502,0.445,0.736,0.37,0.594,2022-06-06
18-Dec,2021,39,Completed vaccine series,0.467,0.41700000000000004,0.41100000000000003,0.731,0.239,0.474,2022-06-06
12+,2021,39,Completed vaccine series,0.67,0.5920000000000001,0.519,0.797,0.39299999999999996,0.621,2022-06-06
65+,2021,38,At least one vaccine dose,0.9590000000000001,1,0.813,1,0.9179999999999999,0.885,2022-06-06
11-May,2021,38,At least one vaccine dose,0.001,0,0,0.001,0,0,2022-06-06
5+,2021,38,At least one vaccine dose,0.636,0.55,0.49,0.735,0.319,0.562,2022-06-06
45-64,2021,38,At least one vaccine dose,0.674,0.8320000000000001,0.636,0.924,0.636,0.804,2022-06-06
19-44,2021,38,At least one vaccine dose,0.607,0.569,0.505,0.7759999999999999,0.395,0.652,2022-06-06
18-Dec,2021,38,At least one vaccine dose,0.49700000000000005,0.483,0.47600000000000003,0.7829999999999999,0.259,0.529,2022-06-06
12+,2021,38,At least one vaccine dose,0.6920000000000001,0.653,0.5710000000000001,0.8340000000000001,0.41600000000000004,0.6729999999999999,2022-06-06
65+,2021,38,Completed vaccine series,0.9390000000000001,1,0.79,1,0.8959999999999999,0.8490000000000001,2022-06-06
11-May,2021,38,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,38,Completed vaccine series,0.612,0.494,0.44,0.698,0.299,0.513,2022-06-06
45-64,2021,38,Completed vaccine series,0.654,0.7759999999999999,0.588,0.895,0.613,0.763,2022-06-06
19-44,2021,38,Completed vaccine series,0.574,0.495,0.439,0.731,0.36700000000000005,0.588,2022-06-06
18-Dec,2021,38,Completed vaccine series,0.462,0.409,0.4,0.722,0.23600000000000002,0.466,2022-06-06
12+,2021,38,Completed vaccine series,0.667,0.585,0.514,0.792,0.39,0.616,2022-06-06
65+,2021,37,At least one vaccine dose,0.9570000000000001,1,0.8109999999999999,1,0.9159999999999999,0.8809999999999999,2022-06-06
11-May,2021,37,At least one vaccine dose,0.001,0,0,0.001,0,0,2022-06-06
5+,2021,37,At least one vaccine dose,0.633,0.544,0.484,0.731,0.317,0.557,2022-06-06
45-64,2021,37,At least one vaccine dose,0.672,0.8270000000000001,0.631,0.922,0.634,0.8009999999999999,2022-06-06
19-44,2021,37,At least one vaccine dose,0.603,0.561,0.496,0.772,0.39299999999999996,0.6459999999999999,2022-06-06
18-Dec,2021,37,At least one vaccine dose,0.493,0.475,0.46399999999999997,0.777,0.256,0.523,2022-06-06
12+,2021,37,At least one vaccine dose,0.69,0.6459999999999999,0.564,0.83,0.413,0.667,2022-06-06
65+,2021,37,Completed vaccine series,0.938,1,0.7859999999999999,1,0.895,0.847,2022-06-06
11-May,2021,37,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,37,Completed vaccine series,0.608,0.48700000000000004,0.434,0.693,0.297,0.507,2022-06-06
45-64,2021,37,Completed vaccine series,0.6509999999999999,0.77,0.583,0.892,0.609,0.758,2022-06-06
19-44,2021,37,Completed vaccine series,0.57,0.48700000000000004,0.431,0.726,0.363,0.581,2022-06-06
18-Dec,2021,37,Completed vaccine series,0.45399999999999996,0.395,0.386,0.708,0.23199999999999998,0.45299999999999996,2022-06-06
12+,2021,37,Completed vaccine series,0.6629999999999999,0.5770000000000001,0.506,0.787,0.387,0.608,2022-06-06
65+,2021,36,At least one vaccine dose,0.956,1,0.81,1,0.915,0.878,2022-06-06
11-May,2021,36,At least one vaccine dose,0.001,0,0,0,0,0,2022-06-06
5+,2021,36,At least one vaccine dose,0.63,0.537,0.47700000000000004,0.727,0.315,0.552,2022-06-06
45-64,2021,36,At least one vaccine dose,0.669,0.82,0.626,0.919,0.631,0.797,2022-06-06
19-44,2021,36,At least one vaccine dose,0.599,0.552,0.48700000000000004,0.768,0.389,0.639,2022-06-06
18-Dec,2021,36,At least one vaccine dose,0.488,0.466,0.452,0.77,0.254,0.515,2022-06-06
12+,2021,36,At least one vaccine dose,0.687,0.637,0.557,0.826,0.41,0.6609999999999999,2022-06-06
65+,2021,36,Completed vaccine series,0.937,1,0.785,1,0.894,0.845,2022-06-06
11-May,2021,36,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,36,Completed vaccine series,0.604,0.478,0.428,0.687,0.293,0.499,2022-06-06
45-64,2021,36,Completed vaccine series,0.647,0.762,0.578,0.889,0.605,0.752,2022-06-06
19-44,2021,36,Completed vaccine series,0.564,0.47600000000000003,0.423,0.72,0.359,0.5710000000000001,2022-06-06
18-Dec,2021,36,Completed vaccine series,0.445,0.38,0.37200000000000005,0.6920000000000001,0.22699999999999998,0.43799999999999994,2022-06-06
12+,2021,36,Completed vaccine series,0.6579999999999999,0.5670000000000001,0.499,0.78,0.382,0.599,2022-06-06
65+,2021,35,At least one vaccine dose,0.955,1,0.8079999999999999,1,0.914,0.875,2022-06-06
11-May,2021,35,At least one vaccine dose,0.001,0,0,0,0,0,2022-06-06
5+,2021,35,At least one vaccine dose,0.627,0.531,0.47100000000000003,0.723,0.312,0.546,2022-06-06
45-64,2021,35,At least one vaccine dose,0.6659999999999999,0.815,0.622,0.917,0.628,0.7929999999999999,2022-06-06
19-44,2021,35,At least one vaccine dose,0.595,0.5429999999999999,0.48,0.763,0.385,0.632,2022-06-06
18-Dec,2021,35,At least one vaccine dose,0.484,0.456,0.439,0.76,0.251,0.507,2022-06-06
12+,2021,35,At least one vaccine dose,0.684,0.63,0.55,0.8220000000000001,0.40700000000000003,0.655,2022-06-06
65+,2021,35,Completed vaccine series,0.935,1,0.7829999999999999,1,0.8909999999999999,0.841,2022-06-06
11-May,2021,35,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,35,Completed vaccine series,0.6,0.469,0.42100000000000004,0.6809999999999999,0.29,0.491,2022-06-06
45-64,2021,35,Completed vaccine series,0.643,0.755,0.5710000000000001,0.885,0.601,0.745,2022-06-06
19-44,2021,35,Completed vaccine series,0.5579999999999999,0.467,0.415,0.713,0.355,0.562,2022-06-06
18-Dec,2021,35,Completed vaccine series,0.433,0.361,0.35700000000000004,0.674,0.22,0.42,2022-06-06
12+,2021,35,Completed vaccine series,0.654,0.557,0.491,0.773,0.377,0.588,2022-06-06
65+,2021,34,At least one vaccine dose,0.953,1,0.805,1,0.9109999999999999,0.872,2022-06-06
11-May,2021,34,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,34,At least one vaccine dose,0.623,0.523,0.46399999999999997,0.718,0.309,0.539,2022-06-06
45-64,2021,34,At least one vaccine dose,0.6629999999999999,0.8079999999999999,0.617,0.914,0.624,0.7879999999999999,2022-06-06
19-44,2021,34,At least one vaccine dose,0.589,0.5329999999999999,0.47200000000000003,0.757,0.381,0.623,2022-06-06
18-Dec,2021,34,At least one vaccine dose,0.474,0.43799999999999994,0.42,0.743,0.245,0.49200000000000005,2022-06-06
12+,2021,34,At least one vaccine dose,0.679,0.62,0.542,0.815,0.402,0.6459999999999999,2022-06-06
65+,2021,34,Completed vaccine series,0.934,1,0.78,1,0.888,0.8370000000000001,2022-06-06
11-May,2021,34,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,34,Completed vaccine series,0.594,0.45899999999999996,0.41200000000000003,0.674,0.285,0.48100000000000004,2022-06-06
45-64,2021,34,Completed vaccine series,0.638,0.746,0.564,0.88,0.596,0.738,2022-06-06
19-44,2021,34,Completed vaccine series,0.552,0.457,0.406,0.7070000000000001,0.35,0.55,2022-06-06
18-Dec,2021,34,Completed vaccine series,0.415,0.33799999999999997,0.32899999999999996,0.653,0.21,0.4,2022-06-06
12+,2021,34,Completed vaccine series,0.648,0.545,0.48,0.765,0.371,0.5760000000000001,2022-06-06
65+,2021,33,At least one vaccine dose,0.9520000000000001,1,0.8029999999999999,1,0.91,0.8690000000000001,2022-06-06
11-May,2021,33,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,33,At least one vaccine dose,0.619,0.513,0.457,0.7120000000000001,0.306,0.53,2022-06-06
45-64,2021,33,At least one vaccine dose,0.66,0.8,0.611,0.9109999999999999,0.621,0.782,2022-06-06
19-44,2021,33,At least one vaccine dose,0.584,0.523,0.462,0.7509999999999999,0.377,0.613,2022-06-06
18-Dec,2021,33,At least one vaccine dose,0.46399999999999997,0.419,0.405,0.725,0.24,0.475,2022-06-06
12+,2021,33,At least one vaccine dose,0.675,0.609,0.5329999999999999,0.809,0.39799999999999996,0.636,2022-06-06
65+,2021,33,Completed vaccine series,0.9309999999999999,1,0.777,1,0.8859999999999999,0.8320000000000001,2022-06-06
11-May,2021,33,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,33,Completed vaccine series,0.589,0.449,0.40399999999999997,0.6659999999999999,0.28,0.47100000000000003,2022-06-06
45-64,2021,33,Completed vaccine series,0.633,0.736,0.5579999999999999,0.875,0.591,0.73,2022-06-06
19-44,2021,33,Completed vaccine series,0.546,0.446,0.397,0.7,0.345,0.539,2022-06-06
18-Dec,2021,33,Completed vaccine series,0.396,0.315,0.31,0.631,0.201,0.38,2022-06-06
12+,2021,33,Completed vaccine series,0.642,0.5329999999999999,0.47100000000000003,0.757,0.365,0.564,2022-06-06
65+,2021,32,At least one vaccine dose,0.95,1,0.8,1,0.909,0.8640000000000001,2022-06-06
11-May,2021,32,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,32,At least one vaccine dose,0.614,0.503,0.44799999999999995,0.705,0.301,0.52,2022-06-06
45-64,2021,32,At least one vaccine dose,0.6559999999999999,0.792,0.603,0.907,0.615,0.775,2022-06-06
19-44,2021,32,At least one vaccine dose,0.5770000000000001,0.511,0.451,0.7440000000000001,0.373,0.601,2022-06-06
18-Dec,2021,32,At least one vaccine dose,0.451,0.397,0.385,0.705,0.23199999999999998,0.45299999999999996,2022-06-06
12+,2021,32,At least one vaccine dose,0.669,0.597,0.523,0.8009999999999999,0.39299999999999996,0.623,2022-06-06
65+,2021,32,Completed vaccine series,0.93,0.998,0.774,1,0.882,0.828,2022-06-06
45-64,2021,32,Completed vaccine series,0.629,0.727,0.5529999999999999,0.87,0.586,0.722,2022-06-06
19-44,2021,32,Completed vaccine series,0.541,0.436,0.391,0.6940000000000001,0.341,0.53,2022-06-06
18-Dec,2021,32,Completed vaccine series,0.38299999999999995,0.299,0.297,0.613,0.195,0.363,2022-06-06
12+,2021,32,Completed vaccine series,0.637,0.522,0.465,0.75,0.36,0.5539999999999999,2022-06-06
65+,2021,31,At least one vaccine dose,0.948,1,0.799,1,0.905,0.8590000000000001,2022-06-06
11-May,2021,31,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,31,At least one vaccine dose,0.608,0.491,0.43700000000000006,0.6970000000000001,0.29600000000000004,0.508,2022-06-06
45-64,2021,31,At least one vaccine dose,0.65,0.7809999999999999,0.594,0.9009999999999999,0.61,0.7659999999999999,2022-06-06
19-44,2021,31,At least one vaccine dose,0.569,0.49700000000000005,0.43799999999999994,0.736,0.366,0.588,2022-06-06
18-Dec,2021,31,At least one vaccine dose,0.431,0.369,0.35600000000000004,0.682,0.221,0.43,2022-06-06
12+,2021,31,At least one vaccine dose,0.6629999999999999,0.5820000000000001,0.509,0.7909999999999999,0.386,0.609,2022-06-06
65+,2021,31,Completed vaccine series,0.9279999999999999,0.993,0.773,1,0.879,0.823,2022-06-06
11-May,2021,31,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,31,Completed vaccine series,0.581,0.434,0.39299999999999996,0.655,0.27399999999999997,0.456,2022-06-06
45-64,2021,31,Completed vaccine series,0.626,0.72,0.5479999999999999,0.866,0.5820000000000001,0.716,2022-06-06
19-44,2021,31,Completed vaccine series,0.537,0.429,0.384,0.6890000000000001,0.33899999999999997,0.523,2022-06-06
18-Dec,2021,31,Completed vaccine series,0.374,0.287,0.28600000000000003,0.598,0.19,0.35,2022-06-06
12+,2021,31,Completed vaccine series,0.633,0.514,0.45799999999999996,0.7440000000000001,0.35700000000000004,0.546,2022-06-06
65+,2021,30,At least one vaccine dose,0.946,1,0.795,1,0.903,0.855,2022-06-06
11-May,2021,30,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,30,At least one vaccine dose,0.601,0.47700000000000004,0.428,0.6890000000000001,0.29,0.496,2022-06-06
45-64,2021,30,At least one vaccine dose,0.644,0.769,0.586,0.895,0.602,0.757,2022-06-06
19-44,2021,30,At least one vaccine dose,0.561,0.48200000000000004,0.42700000000000005,0.728,0.361,0.573,2022-06-06
18-Dec,2021,30,At least one vaccine dose,0.41100000000000003,0.342,0.336,0.659,0.21100000000000002,0.40700000000000003,2022-06-06
12+,2021,30,At least one vaccine dose,0.655,0.5660000000000001,0.499,0.782,0.379,0.595,2022-06-06
65+,2021,30,Completed vaccine series,0.927,0.988,0.772,1,0.8759999999999999,0.8190000000000001,2022-06-06
11-May,2021,30,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,30,Completed vaccine series,0.578,0.42700000000000005,0.389,0.65,0.271,0.45,2022-06-06
45-64,2021,30,Completed vaccine series,0.624,0.713,0.544,0.862,0.578,0.71,2022-06-06
19-44,2021,30,Completed vaccine series,0.534,0.42100000000000004,0.379,0.684,0.336,0.516,2022-06-06
18-Dec,2021,30,Completed vaccine series,0.366,0.275,0.278,0.585,0.184,0.33899999999999997,2022-06-06
12+,2021,30,Completed vaccine series,0.63,0.506,0.45299999999999996,0.738,0.353,0.539,2022-06-06
65+,2021,29,At least one vaccine dose,0.9440000000000001,1,0.792,1,0.898,0.85,2022-06-06
11-May,2021,29,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,29,At least one vaccine dose,0.596,0.467,0.42100000000000004,0.682,0.28600000000000003,0.486,2022-06-06
45-64,2021,29,At least one vaccine dose,0.639,0.76,0.581,0.89,0.597,0.748,2022-06-06
19-44,2021,29,At least one vaccine dose,0.555,0.47,0.419,0.721,0.35600000000000004,0.561,2022-06-06
18-Dec,2021,29,At least one vaccine dose,0.397,0.324,0.321,0.639,0.204,0.389,2022-06-06
12+,2021,29,At least one vaccine dose,0.65,0.5539999999999999,0.491,0.774,0.373,0.583,2022-06-06
65+,2021,29,Completed vaccine series,0.9259999999999999,0.982,0.7709999999999999,1,0.8740000000000001,0.8140000000000001,2022-06-06
11-May,2021,29,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,29,Completed vaccine series,0.5760000000000001,0.42,0.385,0.645,0.26899999999999996,0.44299999999999995,2022-06-06
45-64,2021,29,Completed vaccine series,0.621,0.705,0.54,0.858,0.575,0.705,2022-06-06
19-44,2021,29,Completed vaccine series,0.531,0.413,0.374,0.679,0.33299999999999996,0.508,2022-06-06
18-Dec,2021,29,Completed vaccine series,0.36,0.263,0.268,0.5710000000000001,0.18,0.327,2022-06-06
12+,2021,29,Completed vaccine series,0.627,0.498,0.449,0.732,0.35,0.531,2022-06-06
65+,2021,28,At least one vaccine dose,0.9420000000000001,1,0.7909999999999999,1,0.894,0.845,2022-06-06
11-May,2021,28,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,28,At least one vaccine dose,0.5920000000000001,0.45899999999999996,0.415,0.6759999999999999,0.28300000000000003,0.478,2022-06-06
45-64,2021,28,At least one vaccine dose,0.636,0.75,0.575,0.885,0.593,0.74,2022-06-06
19-44,2021,28,At least one vaccine dose,0.551,0.461,0.413,0.715,0.35200000000000004,0.552,2022-06-06
18-Dec,2021,28,At least one vaccine dose,0.386,0.309,0.308,0.623,0.19899999999999998,0.374,2022-06-06
12+,2021,28,At least one vaccine dose,0.645,0.545,0.485,0.768,0.368,0.573,2022-06-06
65+,2021,28,Completed vaccine series,0.925,0.975,0.769,1,0.872,0.81,2022-06-06
11-May,2021,28,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,28,Completed vaccine series,0.573,0.41200000000000003,0.381,0.638,0.266,0.436,2022-06-06
45-64,2021,28,Completed vaccine series,0.619,0.6970000000000001,0.537,0.8540000000000001,0.5720000000000001,0.698,2022-06-06
19-44,2021,28,Completed vaccine series,0.528,0.405,0.37,0.672,0.33,0.5,2022-06-06
18-Dec,2021,28,Completed vaccine series,0.35200000000000004,0.25,0.259,0.552,0.175,0.314,2022-06-06
12+,2021,28,Completed vaccine series,0.624,0.489,0.444,0.725,0.34600000000000003,0.522,2022-06-06
65+,2021,27,At least one vaccine dose,0.941,1,0.79,1,0.892,0.841,2022-06-06
11-May,2021,27,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,27,At least one vaccine dose,0.59,0.452,0.41200000000000003,0.6709999999999999,0.28,0.47200000000000003,2022-06-06
45-64,2021,27,At least one vaccine dose,0.633,0.743,0.5720000000000001,0.882,0.59,0.735,2022-06-06
19-44,2021,27,At least one vaccine dose,0.5479999999999999,0.45299999999999996,0.408,0.71,0.349,0.544,2022-06-06
18-Dec,2021,27,At least one vaccine dose,0.379,0.297,0.3,0.609,0.193,0.36200000000000004,2022-06-06
12+,2021,27,At least one vaccine dose,0.643,0.536,0.48,0.762,0.365,0.565,2022-06-06
65+,2021,27,Completed vaccine series,0.9229999999999999,0.968,0.765,1,0.8690000000000001,0.804,2022-06-06
11-May,2021,27,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,27,Completed vaccine series,0.57,0.40399999999999997,0.376,0.631,0.262,0.42700000000000005,2022-06-06
45-64,2021,27,Completed vaccine series,0.616,0.687,0.5329999999999999,0.848,0.568,0.69,2022-06-06
19-44,2021,27,Completed vaccine series,0.524,0.396,0.364,0.665,0.327,0.49,2022-06-06
18-Dec,2021,27,Completed vaccine series,0.34299999999999997,0.235,0.24600000000000002,0.529,0.16899999999999998,0.297,2022-06-06
12+,2021,27,Completed vaccine series,0.622,0.479,0.43799999999999994,0.716,0.342,0.512,2022-06-06
65+,2021,26,At least one vaccine dose,0.94,1,0.7879999999999999,1,0.89,0.8370000000000001,2022-06-06
11-May,2021,26,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,26,At least one vaccine dose,0.5870000000000001,0.445,0.409,0.6659999999999999,0.278,0.465,2022-06-06
45-64,2021,26,At least one vaccine dose,0.631,0.736,0.569,0.878,0.5870000000000001,0.7290000000000001,2022-06-06
19-44,2021,26,At least one vaccine dose,0.545,0.446,0.405,0.705,0.34700000000000003,0.537,2022-06-06
18-Dec,2021,26,At least one vaccine dose,0.37200000000000005,0.28600000000000003,0.292,0.595,0.188,0.35100000000000003,2022-06-06
12+,2021,26,At least one vaccine dose,0.64,0.528,0.47700000000000004,0.7559999999999999,0.36200000000000004,0.557,2022-06-06
65+,2021,26,Completed vaccine series,0.922,0.96,0.763,1,0.867,0.799,2022-06-06
11-May,2021,26,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,26,Completed vaccine series,0.5670000000000001,0.395,0.371,0.622,0.259,0.418,2022-06-06
45-64,2021,26,Completed vaccine series,0.614,0.6759999999999999,0.53,0.8420000000000001,0.564,0.6809999999999999,2022-06-06
19-44,2021,26,Completed vaccine series,0.521,0.386,0.358,0.657,0.324,0.48,2022-06-06
18-Dec,2021,26,Completed vaccine series,0.33299999999999996,0.22,0.233,0.503,0.162,0.281,2022-06-06
12+,2021,26,Completed vaccine series,0.618,0.46799999999999997,0.43200000000000005,0.7070000000000001,0.33799999999999997,0.501,2022-06-06
65+,2021,25,At least one vaccine dose,0.938,1,0.7879999999999999,1,0.888,0.831,2022-06-06
11-May,2021,25,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,25,At least one vaccine dose,0.585,0.43700000000000006,0.40399999999999997,0.659,0.275,0.457,2022-06-06
45-64,2021,25,At least one vaccine dose,0.629,0.728,0.564,0.873,0.584,0.722,2022-06-06
19-44,2021,25,At least one vaccine dose,0.542,0.43700000000000006,0.4,0.698,0.344,0.527,2022-06-06
18-Dec,2021,25,At least one vaccine dose,0.365,0.272,0.282,0.5770000000000001,0.183,0.336,2022-06-06
12+,2021,25,At least one vaccine dose,0.637,0.519,0.47200000000000003,0.7490000000000001,0.358,0.5479999999999999,2022-06-06
65+,2021,25,Completed vaccine series,0.9209999999999999,0.9520000000000001,0.7609999999999999,1,0.865,0.7909999999999999,2022-06-06
11-May,2021,25,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,25,Completed vaccine series,0.564,0.384,0.365,0.613,0.255,0.40700000000000003,2022-06-06
45-64,2021,25,Completed vaccine series,0.611,0.665,0.525,0.836,0.5589999999999999,0.67,2022-06-06
19-44,2021,25,Completed vaccine series,0.517,0.374,0.353,0.648,0.32,0.46799999999999997,2022-06-06
18-Dec,2021,25,Completed vaccine series,0.32,0.20199999999999999,0.217,0.474,0.154,0.261,2022-06-06
12+,2021,25,Completed vaccine series,0.614,0.456,0.426,0.696,0.33299999999999996,0.488,2022-06-06
65+,2021,24,At least one vaccine dose,0.937,0.997,0.785,1,0.885,0.825,2022-06-06
11-May,2021,24,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,24,At least one vaccine dose,0.5820000000000001,0.428,0.39899999999999997,0.652,0.272,0.44799999999999995,2022-06-06
45-64,2021,24,At least one vaccine dose,0.626,0.7170000000000001,0.56,0.868,0.58,0.7140000000000001,2022-06-06
19-44,2021,24,At least one vaccine dose,0.539,0.42700000000000005,0.39399999999999996,0.691,0.34,0.518,2022-06-06
18-Dec,2021,24,At least one vaccine dose,0.35600000000000004,0.257,0.271,0.556,0.177,0.32,2022-06-06
12+,2021,24,At least one vaccine dose,0.634,0.508,0.465,0.74,0.354,0.537,2022-06-06
