product,doses_shipped,filed_date,report_date,is_ltc
Pfizer,4538860,2022-01-31,2022-02-01,General population
Johnson & Johnson,311800,2022-01-31,2022-02-01,General population
Moderna,1775500,2022-01-31,2022-02-01,Long-term care
Pfizer,2518460,2022-01-31,2022-02-01,Long-term care
Johnson & Johnson,186200,2022-01-31,2022-02-01,Long-term care
Moderna,2348160,2022-01-27,2022-01-28,General population
Pfizer,4531960,2022-01-27,2022-01-28,General population
Johnson & Johnson,311800,2022-01-27,2022-01-28,General population
Moderna,1768700,2022-01-27,2022-01-28,Long-term care
Pfizer,2502260,2022-01-27,2022-01-28,Long-term care
Johnson & Johnson,185400,2022-01-27,2022-01-28,Long-term care
Moderna,2347960,2022-01-26,2022-01-27,General population
Pfizer,4523860,2022-01-26,2022-01-27,General population
Johnson & Johnson,311800,2022-01-26,2022-01-27,General population
Moderna,1766600,2022-01-26,2022-01-27,Long-term care
Pfizer,2491560,2022-01-26,2022-01-27,Long-term care
Johnson & Johnson,185400,2022-01-26,2022-01-27,Long-term care
Moderna,2344560,2022-01-24,2022-01-26,General population
Pfizer,4521760,2022-01-24,2022-01-26,General population
Johnson & Johnson,311800,2022-01-24,2022-01-26,General population
Moderna,1757800,2022-01-24,2022-01-26,Long-term care
Pfizer,2487360,2022-01-24,2022-01-26,Long-term care
Johnson & Johnson,185200,2022-01-24,2022-01-26,Long-term care
Moderna,2336560,2022-01-24,2022-01-25,General population
Pfizer,4513460,2022-01-24,2022-01-25,General population
Johnson & Johnson,311800,2022-01-24,2022-01-25,General population
Moderna,1755000,2022-01-24,2022-01-25,Long-term care
Pfizer,2485760,2022-01-24,2022-01-25,Long-term care
Johnson & Johnson,185000,2022-01-24,2022-01-25,Long-term care
Moderna,2335160,2022-01-21,2022-01-24,General population
Pfizer,4507160,2022-01-21,2022-01-24,General population
Johnson & Johnson,311800,2022-01-21,2022-01-24,General population
Moderna,1754200,2022-01-21,2022-01-24,Long-term care
Pfizer,2464660,2022-01-21,2022-01-24,Long-term care
Johnson & Johnson,185000,2022-01-21,2022-01-24,Long-term care
Moderna,2333960,2022-01-20,2022-01-21,General population
Pfizer,4504660,2022-01-20,2022-01-21,General population
Johnson & Johnson,311800,2022-01-20,2022-01-21,General population
Moderna,1750400,2022-01-20,2022-01-21,Long-term care
Pfizer,2449760,2022-01-20,2022-01-21,Long-term care
Johnson & Johnson,183500,2022-01-20,2022-01-21,Long-term care
Moderna,2332760,2022-01-19,2022-01-20,General population
Pfizer,4486860,2022-01-19,2022-01-20,General population
Johnson & Johnson,311800,2022-01-19,2022-01-20,General population
Moderna,1747200,2022-01-19,2022-01-20,Long-term care
Pfizer,2445460,2022-01-19,2022-01-20,Long-term care
Johnson & Johnson,183100,2022-01-19,2022-01-20,Long-term care
Moderna,2320660,2022-01-18,2022-01-19,General population
Pfizer,4472660,2022-01-18,2022-01-19,General population
Johnson & Johnson,311800,2022-01-18,2022-01-19,General population
Moderna,1721900,2022-01-18,2022-01-19,Long-term care
Pfizer,2437310,2022-01-18,2022-01-19,Long-term care
Johnson & Johnson,182500,2022-01-18,2022-01-19,Long-term care
Moderna,2320660,2022-01-14,2022-01-18,General population
Pfizer,4465260,2022-01-14,2022-01-18,General population
Johnson & Johnson,311800,2022-01-14,2022-01-18,General population
Moderna,1721900,2022-01-14,2022-01-18,Long-term care
Pfizer,2412110,2022-01-14,2022-01-18,Long-term care
Johnson & Johnson,182500,2022-01-14,2022-01-18,Long-term care
Moderna,2319060,2022-01-13,2022-01-14,General population
Pfizer,4457760,2022-01-13,2022-01-14,General population
Johnson & Johnson,311800,2022-01-13,2022-01-14,General population
Moderna,1720000,2022-01-13,2022-01-14,Long-term care
Pfizer,2402610,2022-01-13,2022-01-14,Long-term care
Johnson & Johnson,182500,2022-01-13,2022-01-14,Long-term care
Moderna,2316860,2022-01-12,2022-01-13,General population
Pfizer,4456860,2022-01-12,2022-01-13,General population
Johnson & Johnson,311800,2022-01-12,2022-01-13,General population
Moderna,1716100,2022-01-12,2022-01-13,Long-term care
Pfizer,2395230,2022-01-12,2022-01-13,Long-term care
Johnson & Johnson,182200,2022-01-12,2022-01-13,Long-term care
Moderna,2313660,2022-01-11,2022-01-12,General population
Pfizer,4443060,2022-01-11,2022-01-12,General population
Johnson & Johnson,311800,2022-01-11,2022-01-12,General population
Moderna,1711000,2022-01-11,2022-01-12,Long-term care
Pfizer,2390160,2022-01-11,2022-01-12,Long-term care
Johnson & Johnson,182200,2022-01-11,2022-01-12,Long-term care
Moderna,2311660,2022-01-10,2022-01-11,General population
Pfizer,4424860,2022-01-10,2022-01-11,General population
Johnson & Johnson,311800,2022-01-10,2022-01-11,General population
Moderna,1705000,2022-01-10,2022-01-11,Long-term care
Pfizer,2377960,2022-01-10,2022-01-11,Long-term care
Johnson & Johnson,181700,2022-01-10,2022-01-11,Long-term care
Moderna,2311660,2022-01-07,2022-01-10,General population
Pfizer,4419360,2022-01-07,2022-01-10,General population
Johnson & Johnson,311800,2022-01-07,2022-01-10,General population
Moderna,1704700,2022-01-07,2022-01-10,Long-term care
Pfizer,2340310,2022-01-07,2022-01-10,Long-term care
Johnson & Johnson,181700,2022-01-07,2022-01-10,Long-term care
Moderna,2308260,2022-01-06,2022-01-07,General population
Pfizer,4401660,2022-01-06,2022-01-07,General population
Johnson & Johnson,311800,2022-01-06,2022-01-07,General population
Moderna,1690900,2022-01-06,2022-01-07,Long-term care
Pfizer,2325410,2022-01-06,2022-01-07,Long-term care
Johnson & Johnson,181500,2022-01-06,2022-01-07,Long-term care
Moderna,2290960,2022-01-05,2022-01-06,General population
Pfizer,4397260,2022-01-05,2022-01-06,General population
Johnson & Johnson,311800,2022-01-05,2022-01-06,General population
Moderna,1680200,2022-01-05,2022-01-06,Long-term care
Pfizer,2319560,2022-01-05,2022-01-06,Long-term care
Johnson & Johnson,181200,2022-01-05,2022-01-06,Long-term care
Moderna,2289060,2022-01-04,2022-01-05,General population
Pfizer,4325160,2022-01-04,2022-01-05,General population
Johnson & Johnson,311800,2022-01-04,2022-01-05,General population
Moderna,1665500,2022-01-04,2022-01-05,Long-term care
Pfizer,2301180,2022-01-04,2022-01-05,Long-term care
Johnson & Johnson,181000,2022-01-04,2022-01-05,Long-term care
Moderna,2288460,2022-01-03,2022-01-04,General population
Pfizer,4325160,2022-01-03,2022-01-04,General population
Johnson & Johnson,311800,2022-01-03,2022-01-04,General population
Moderna,1661500,2022-01-03,2022-01-04,Long-term care
Pfizer,2301180,2022-01-03,2022-01-04,Long-term care
Johnson & Johnson,181000,2022-01-03,2022-01-04,Long-term care
Moderna,2288460,2021-12-30,2022-01-03,General population
Pfizer,4325160,2021-12-30,2022-01-03,General population
Johnson & Johnson,311800,2021-12-30,2022-01-03,General population
Moderna,1661500,2021-12-30,2022-01-03,Long-term care
Pfizer,2301180,2021-12-30,2022-01-03,Long-term care
Johnson & Johnson,181000,2021-12-30,2022-01-03,Long-term care
Moderna,2288460,2021-12-29,2021-12-30,General population
Pfizer,4325160,2021-12-29,2021-12-30,General population
Johnson & Johnson,311800,2021-12-29,2021-12-30,General population
Moderna,1661500,2021-12-29,2021-12-30,Long-term care
Pfizer,2296500,2021-12-29,2021-12-30,Long-term care
Johnson & Johnson,181000,2021-12-29,2021-12-30,Long-term care
Moderna,2286460,2021-12-21,2021-12-29,General population
Pfizer,4320890,2021-12-21,2021-12-29,General population
Johnson & Johnson,311800,2021-12-21,2021-12-29,General population
Moderna,1655500,2021-12-21,2021-12-29,Long-term care
Pfizer,2284800,2021-12-21,2021-12-29,Long-term care
Johnson & Johnson,181000,2021-12-21,2021-12-29,Long-term care
Moderna,2270960,2021-12-21,2021-12-28,General population
Pfizer,4294070,2021-12-21,2021-12-28,General population
Johnson & Johnson,311800,2021-12-21,2021-12-28,General population
Moderna,1641800,2021-12-21,2021-12-28,Long-term care
Pfizer,2259170,2021-12-21,2021-12-28,Long-term care
Johnson & Johnson,180200,2021-12-21,2021-12-28,Long-term care
Moderna,2270960,2021-12-21,2021-12-27,General population
Pfizer,4294070,2021-12-21,2021-12-27,General population
Johnson & Johnson,311800,2021-12-21,2021-12-27,General population
Moderna,1641800,2021-12-21,2021-12-27,Long-term care
Pfizer,2252970,2021-12-21,2021-12-27,Long-term care
Johnson & Johnson,180200,2021-12-21,2021-12-27,Long-term care
Moderna,2270960,2021-12-21,2021-12-23,General population
Pfizer,4294070,2021-12-21,2021-12-23,General population
Johnson & Johnson,311800,2021-12-21,2021-12-23,General population
Moderna,1641800,2021-12-21,2021-12-23,Long-term care
Pfizer,2251800,2021-12-21,2021-12-23,Long-term care
Johnson & Johnson,180200,2021-12-21,2021-12-23,Long-term care
Moderna,2260760,2021-12-20,2021-12-21,General population
Pfizer,993270,2021-12-20,2021-12-21,General population
Johnson & Johnson,311800,2021-12-20,2021-12-21,General population
Moderna,1611300,2021-12-20,2021-12-21,Long-term care
Pfizer,2040390,2021-12-20,2021-12-21,Long-term care
Johnson & Johnson,179900,2021-12-20,2021-12-21,Long-term care
Moderna,2257860,2021-12-17,2021-12-20,General population
Pfizer,993170,2021-12-17,2021-12-20,General population
Johnson & Johnson,311600,2021-12-17,2021-12-20,General population
Moderna,1605800,2021-12-17,2021-12-20,Long-term care
Pfizer,2198740,2021-12-17,2021-12-20,Long-term care
Johnson & Johnson,178900,2021-12-17,2021-12-20,Long-term care
Moderna,2257260,2021-12-16,2021-12-17,General population
Pfizer,4247320,2021-12-16,2021-12-17,General population
Johnson & Johnson,311600,2021-12-16,2021-12-17,General population
Moderna,1601800,2021-12-16,2021-12-17,Long-term care
Pfizer,2186840,2021-12-16,2021-12-17,Long-term care
Johnson & Johnson,178600,2021-12-16,2021-12-17,Long-term care
Moderna,2255460,2021-12-15,2021-12-16,General population
Pfizer,4212730,2021-12-15,2021-12-16,General population
Johnson & Johnson,311500,2021-12-15,2021-12-16,General population
Moderna,1596000,2021-12-15,2021-12-16,Long-term care
Pfizer,2151720,2021-12-15,2021-12-16,Long-term care
Johnson & Johnson,191400,2021-12-15,2021-12-16,Long-term care
Moderna,2239060,2021-12-14,2021-12-15,General population
Pfizer,4150150,2021-12-14,2021-12-15,General population
Johnson & Johnson,310300,2021-12-14,2021-12-15,General population
Moderna,1570200,2021-12-14,2021-12-15,Long-term care
Pfizer,2140290,2021-12-14,2021-12-15,Long-term care
Johnson & Johnson,176100,2021-12-14,2021-12-15,Long-term care
Moderna,2239060,2021-12-13,2021-12-14,General population
Pfizer,4150150,2021-12-13,2021-12-14,General population
Johnson & Johnson,310300,2021-12-13,2021-12-14,General population
Moderna,1570200,2021-12-13,2021-12-14,Long-term care
Pfizer,2140290,2021-12-13,2021-12-14,Long-term care
Johnson & Johnson,176100,2021-12-13,2021-12-14,Long-term care
Moderna,2233060,2021-12-10,2021-12-13,General population
Pfizer,4108300,2021-12-10,2021-12-13,General population
Johnson & Johnson,308300,2021-12-10,2021-12-13,General population
Moderna,1554800,2021-12-10,2021-12-13,Long-term care
Pfizer,2096650,2021-12-10,2021-12-13,Long-term care
Johnson & Johnson,174500,2021-12-10,2021-12-13,Long-term care
Moderna,2233060,2021-12-08,2021-12-10,General population
Pfizer,4108300,2021-12-08,2021-12-10,General population
Johnson & Johnson,308300,2021-12-08,2021-12-10,General population
Moderna,1554800,2021-12-08,2021-12-10,Long-term care
Pfizer,2096650,2021-12-08,2021-12-10,Long-term care
Johnson & Johnson,174500,2021-12-08,2021-12-10,Long-term care
Moderna,2226560,2021-12-08,2021-12-09,General population
Pfizer,4076710,2021-12-08,2021-12-09,General population
Johnson & Johnson,307300,2021-12-08,2021-12-09,General population
Moderna,1549800,2021-12-08,2021-12-09,Long-term care
Pfizer,2055100,2021-12-08,2021-12-09,Long-term care
Johnson & Johnson,174100,2021-12-08,2021-12-09,Long-term care
Moderna,2124800,2021-12-07,2021-12-08,General population
Pfizer,3762195,2021-12-07,2021-12-08,General population
Johnson & Johnson,293100,2021-12-07,2021-12-08,General population
Moderna,1601860,2021-12-07,2021-12-08,Long-term care
Pfizer,2168405,2021-12-07,2021-12-08,Long-term care
Johnson & Johnson,184000,2021-12-07,2021-12-08,Long-term care
Moderna,2124800,2021-12-06,2021-12-07,General population
Pfizer,3762195,2021-12-06,2021-12-07,General population
Johnson & Johnson,293100,2021-12-06,2021-12-07,General population
Moderna,1601860,2021-12-06,2021-12-07,Long-term care
Pfizer,2168405,2021-12-06,2021-12-07,Long-term care
Johnson & Johnson,184000,2021-12-06,2021-12-07,Long-term care
Moderna,2124800,2021-12-03,2021-12-06,General population
Pfizer,3762195,2021-12-03,2021-12-06,General population
Johnson & Johnson,293100,2021-12-03,2021-12-06,General population
Moderna,1597460,2021-12-03,2021-12-06,Long-term care
Pfizer,2168405,2021-12-03,2021-12-06,Long-term care
Johnson & Johnson,183600,2021-12-03,2021-12-06,Long-term care
Moderna,2122300,2021-12-02,2021-12-03,General population
Pfizer,3762195,2021-12-02,2021-12-03,General population
Johnson & Johnson,293100,2021-12-02,2021-12-03,General population
Moderna,1589460,2021-12-02,2021-12-03,Long-term care
Pfizer,2153465,2021-12-02,2021-12-03,Long-term care
Johnson & Johnson,181300,2021-12-02,2021-12-03,Long-term care
Moderna,2106800,2021-12-01,2021-12-02,General population
Pfizer,3675795,2021-12-01,2021-12-02,General population
Johnson & Johnson,289100,2021-12-01,2021-12-02,General population
Moderna,1574260,2021-12-01,2021-12-02,Long-term care
Pfizer,2141075,2021-12-01,2021-12-02,Long-term care
Johnson & Johnson,177800,2021-12-01,2021-12-02,Long-term care
Moderna,2089500,2021-11-29,2021-12-01,General population
Pfizer,3675795,2021-11-29,2021-12-01,General population
Johnson & Johnson,286600,2021-11-29,2021-12-01,General population
Moderna,1549260,2021-11-29,2021-12-01,Long-term care
Pfizer,2134925,2021-11-29,2021-12-01,Long-term care
Johnson & Johnson,177800,2021-11-29,2021-12-01,Long-term care
Moderna,2089500,2021-11-29,2021-11-30,General population
Pfizer,3675795,2021-11-29,2021-11-30,General population
Johnson & Johnson,286600,2021-11-29,2021-11-30,General population
Moderna,1549260,2021-11-29,2021-11-30,Long-term care
Pfizer,2134925,2021-11-29,2021-11-30,Long-term care
Johnson & Johnson,177800,2021-11-29,2021-11-30,Long-term care
Moderna,2078100,2021-11-24,2021-11-26,General population
Pfizer,3642845,2021-11-24,2021-11-26,General population
Johnson & Johnson,285000,2021-11-24,2021-11-26,General population
Moderna,1549260,2021-11-24,2021-11-26,Long-term care
Pfizer,2111075,2021-11-24,2021-11-26,Long-term care
Johnson & Johnson,176400,2021-11-24,2021-11-26,Long-term care
Moderna,2077100,2021-11-23,2021-11-24,General population
Pfizer,3642845,2021-11-23,2021-11-24,General population
Johnson & Johnson,285000,2021-11-23,2021-11-24,General population
Moderna,1549260,2021-11-23,2021-11-24,Long-term care
Pfizer,2111075,2021-11-23,2021-11-24,Long-term care
Johnson & Johnson,175000,2021-11-23,2021-11-24,Long-term care
Moderna,2052700,2021-11-22,2021-11-23,General population
Pfizer,3937765,2021-11-22,2021-11-23,General population
Johnson & Johnson,280500,2021-11-22,2021-11-23,General population
Moderna,1537560,2021-11-22,2021-11-23,Long-term care
Pfizer,2056465,2021-11-22,2021-11-23,Long-term care
Johnson & Johnson,175000,2021-11-22,2021-11-23,Long-term care
Moderna,2051700,2021-11-19,2021-11-22,General population
Pfizer,3542425,2021-11-19,2021-11-22,General population
Johnson & Johnson,280400,2021-11-19,2021-11-22,General population
Moderna,1525860,2021-11-19,2021-11-22,Long-term care
Pfizer,2014455,2021-11-19,2021-11-22,Long-term care
Johnson & Johnson,173500,2021-11-19,2021-11-22,Long-term care
Moderna,2047500,2021-11-18,2021-11-19,General population
Pfizer,3530275,2021-11-18,2021-11-19,General population
Johnson & Johnson,280300,2021-11-18,2021-11-19,General population
Moderna,1513960,2021-11-18,2021-11-19,Long-term care
Pfizer,1975775,2021-11-18,2021-11-19,Long-term care
Johnson & Johnson,169600,2021-11-18,2021-11-19,Long-term care
Moderna,2042100,2021-11-17,2021-11-18,General population
Pfizer,3517225,2021-11-17,2021-11-18,General population
Johnson & Johnson,279600,2021-11-17,2021-11-18,General population
Moderna,1495560,2021-11-17,2021-11-18,Long-term care
Pfizer,1951745,2021-11-17,2021-11-18,Long-term care
Johnson & Johnson,166700,2021-11-17,2021-11-18,Long-term care
Moderna,2022900,2021-11-16,2021-11-17,General population
Pfizer,3511015,2021-11-16,2021-11-17,General population
Johnson & Johnson,277400,2021-11-16,2021-11-17,General population
Moderna,1485860,2021-11-16,2021-11-17,Long-term care
Pfizer,1936285,2021-11-16,2021-11-17,Long-term care
Johnson & Johnson,165800,2021-11-16,2021-11-17,Long-term care
Moderna,2017100,2021-11-15,2021-11-16,General population
Pfizer,3495505,2021-11-15,2021-11-16,General population
Johnson & Johnson,273200,2021-11-15,2021-11-16,General population
Moderna,1478760,2021-11-15,2021-11-16,Long-term care
Pfizer,1919315,2021-11-15,2021-11-16,Long-term care
Johnson & Johnson,165100,2021-11-15,2021-11-16,Long-term care
Moderna,2004860,2021-11-12,2021-11-15,General population
Pfizer,3474095,2021-11-12,2021-11-15,General population
Johnson & Johnson,271400,2021-11-12,2021-11-15,General population
Moderna,1473860,2021-11-12,2021-11-15,Long-term care
Pfizer,1916975,2021-11-12,2021-11-15,Long-term care
Johnson & Johnson,165000,2021-11-12,2021-11-15,Long-term care
Moderna,1994360,2021-11-10,2021-11-12,General population
Pfizer,3400905,2021-11-10,2021-11-12,General population
Johnson & Johnson,268900,2021-11-10,2021-11-12,General population
Moderna,1451060,2021-11-10,2021-11-12,Long-term care
Pfizer,1850535,2021-11-10,2021-11-12,Long-term care
Johnson & Johnson,159900,2021-11-10,2021-11-12,Long-term care
Moderna,1994360,2021-11-10,2021-11-11,General population
Pfizer,3400905,2021-11-10,2021-11-11,General population
Johnson & Johnson,268900,2021-11-10,2021-11-11,General population
Moderna,1451060,2021-11-10,2021-11-11,Long-term care
Pfizer,1850535,2021-11-10,2021-11-11,Long-term care
Johnson & Johnson,159900,2021-11-10,2021-11-11,Long-term care
Moderna,1993940,2021-11-09,2021-11-10,General population
Pfizer,3242565,2021-11-09,2021-11-10,General population
Johnson & Johnson,268900,2021-11-09,2021-11-10,General population
Moderna,1433840,2021-11-09,2021-11-10,Long-term care
Pfizer,1759785,2021-11-09,2021-11-10,Long-term care
Johnson & Johnson,159700,2021-11-09,2021-11-10,Long-term care
Moderna,1985540,2021-11-08,2021-11-09,General population
Pfizer,3364485,2021-11-08,2021-11-09,General population
Johnson & Johnson,267000,2021-11-08,2021-11-09,General population
Moderna,1416340,2021-11-08,2021-11-09,Long-term care
Pfizer,1797405,2021-11-08,2021-11-09,Long-term care
Johnson & Johnson,159700,2021-11-08,2021-11-09,Long-term care
Moderna,1967060,2021-11-05,2021-11-08,General population
Pfizer,3347385,2021-11-05,2021-11-08,General population
Johnson & Johnson,266900,2021-11-05,2021-11-08,General population
Moderna,1413540,2021-11-05,2021-11-08,Long-term care
Pfizer,1748505,2021-11-05,2021-11-08,Long-term care
Johnson & Johnson,157800,2021-11-05,2021-11-08,Long-term care
Moderna,1966640,2021-11-04,2021-11-05,General population
Pfizer,3347385,2021-11-04,2021-11-05,General population
Johnson & Johnson,266300,2021-11-04,2021-11-05,General population
Moderna,1382880,2021-11-04,2021-11-05,Long-term care
Pfizer,1748505,2021-11-04,2021-11-05,Long-term care
Johnson & Johnson,157800,2021-11-04,2021-11-05,Long-term care
Moderna,1962860,2021-11-03,2021-11-04,General population
Pfizer,3223485,2021-11-03,2021-11-04,General population
Johnson & Johnson,265400,2021-11-03,2021-11-04,General population
Moderna,1311240,2021-11-03,2021-11-04,Long-term care
Pfizer,1596360,2021-11-03,2021-11-04,Long-term care
Johnson & Johnson,146400,2021-11-03,2021-11-04,Long-term care
Moderna,1956280,2021-11-02,2021-11-03,General population
Pfizer,3223485,2021-11-02,2021-11-03,General population
Johnson & Johnson,265300,2021-11-02,2021-11-03,General population
Moderna,1285760,2021-11-02,2021-11-03,Long-term care
Pfizer,1586610,2021-11-02,2021-11-03,Long-term care
Johnson & Johnson,145900,2021-11-02,2021-11-03,Long-term care
Moderna,1943680,2021-11-01,2021-11-02,General population
Pfizer,3223485,2021-11-01,2021-11-02,General population
Johnson & Johnson,263100,2021-11-01,2021-11-02,General population
Moderna,1271200,2021-11-01,2021-11-02,Long-term care
Pfizer,1586610,2021-11-01,2021-11-02,Long-term care
Johnson & Johnson,145400,2021-11-01,2021-11-02,Long-term care
Moderna,1942980,2021-10-29,2021-11-01,General population
Pfizer,3221145,2021-10-29,2021-11-01,General population
Johnson & Johnson,263000,2021-10-29,2021-11-01,General population
Moderna,1268540,2021-10-29,2021-11-01,Long-term care
Pfizer,1586160,2021-10-29,2021-11-01,Long-term care
Johnson & Johnson,145400,2021-10-29,2021-11-01,Long-term care
Moderna,1932200,2021-10-28,2021-10-29,General population
Pfizer,3219975,2021-10-28,2021-10-29,General population
Johnson & Johnson,262500,2021-10-28,2021-10-29,General population
Moderna,1244460,2021-10-28,2021-10-29,Long-term care
Pfizer,1575000,2021-10-28,2021-10-29,Long-term care
Johnson & Johnson,145400,2021-10-28,2021-10-29,Long-term care
Moderna,1926140,2021-10-27,2021-10-28,General population
Pfizer,3189555,2021-10-27,2021-10-28,General population
Johnson & Johnson,261100,2021-10-27,2021-10-28,General population
Moderna,1238240,2021-10-27,2021-10-28,Long-term care
Pfizer,1539810,2021-10-27,2021-10-28,Long-term care
Johnson & Johnson,140200,2021-10-27,2021-10-28,Long-term care
Moderna,1910120,2021-10-26,2021-10-27,General population
Pfizer,3187215,2021-10-26,2021-10-27,General population
Johnson & Johnson,258600,2021-10-26,2021-10-27,General population
Moderna,1221520,2021-10-26,2021-10-27,Long-term care
Pfizer,1528290,2021-10-26,2021-10-27,Long-term care
Johnson & Johnson,139400,2021-10-26,2021-10-27,Long-term care
Moderna,1906360,2021-10-25,2021-10-26,General population
Pfizer,3182535,2021-10-25,2021-10-26,General population
Johnson & Johnson,257500,2021-10-25,2021-10-26,General population
Moderna,1204840,2021-10-25,2021-10-26,Long-term care
Pfizer,1531110,2021-10-25,2021-10-26,Long-term care
Johnson & Johnson,136700,2021-10-25,2021-10-26,Long-term care
Moderna,1904400,2021-10-22,2021-10-25,General population
Pfizer,3176685,2021-10-22,2021-10-25,General population
Johnson & Johnson,257500,2021-10-22,2021-10-25,General population
Moderna,1200280,2021-10-22,2021-10-25,Long-term care
Pfizer,1520190,2021-10-22,2021-10-25,Long-term care
Johnson & Johnson,136600,2021-10-22,2021-10-25,Long-term care
Moderna,1903020,2021-10-21,2021-10-22,General population
Pfizer,3150945,2021-10-21,2021-10-22,General population
Johnson & Johnson,256900,2021-10-21,2021-10-22,General population
Moderna,1168220,2021-10-21,2021-10-22,Long-term care
Pfizer,1510830,2021-10-21,2021-10-22,Long-term care
Johnson & Johnson,126600,2021-10-21,2021-10-22,Long-term care
Moderna,1902020,2021-10-20,2021-10-21,General population
Pfizer,3142755,2021-10-20,2021-10-21,General population
Johnson & Johnson,256900,2021-10-20,2021-10-21,General population
Moderna,1156760,2021-10-20,2021-10-21,Long-term care
Pfizer,1494270,2021-10-20,2021-10-21,Long-term care
Johnson & Johnson,126200,2021-10-20,2021-10-21,Long-term care
Moderna,1888520,2021-10-19,2021-10-20,General population
Pfizer,3136905,2021-10-19,2021-10-20,General population
Johnson & Johnson,253400,2021-10-19,2021-10-20,General population
Moderna,1138840,2021-10-19,2021-10-20,Long-term care
Pfizer,1489590,2021-10-19,2021-10-20,Long-term care
Johnson & Johnson,125600,2021-10-19,2021-10-20,Long-term care
Moderna,1887160,2021-10-18,2021-10-19,General population
Pfizer,3127545,2021-10-18,2021-10-19,General population
Johnson & Johnson,252800,2021-10-18,2021-10-19,General population
Moderna,1125300,2021-10-18,2021-10-19,Long-term care
Pfizer,1481580,2021-10-18,2021-10-19,Long-term care
Johnson & Johnson,125200,2021-10-18,2021-10-19,Long-term care
Moderna,1881240,2021-10-15,2021-10-18,General population
Pfizer,3120525,2021-10-15,2021-10-18,General population
Johnson & Johnson,252000,2021-10-15,2021-10-18,General population
Moderna,1123660,2021-10-15,2021-10-18,Long-term care
Pfizer,1479240,2021-10-15,2021-10-18,Long-term care
Johnson & Johnson,125200,2021-10-15,2021-10-18,Long-term care
Moderna,1879860,2021-10-13,2021-10-14,General population
Pfizer,3077235,2021-10-13,2021-10-14,General population
Johnson & Johnson,251400,2021-10-13,2021-10-14,General population
Moderna,1116520,2021-10-13,2021-10-14,Long-term care
Pfizer,1435320,2021-10-13,2021-10-14,Long-term care
Johnson & Johnson,123800,2021-10-13,2021-10-14,Long-term care
Moderna,1872140,2021-10-12,2021-10-13,General population
Pfizer,3077235,2021-10-12,2021-10-13,General population
Johnson & Johnson,250500,2021-10-12,2021-10-13,General population
Moderna,1109760,2021-10-12,2021-10-13,Long-term care
Pfizer,1425510,2021-10-12,2021-10-13,Long-term care
Johnson & Johnson,123800,2021-10-12,2021-10-13,Long-term care
Moderna,1871060,2021-10-08,2021-10-12,General population
Pfizer,3076065,2021-10-08,2021-10-12,General population
Johnson & Johnson,250100,2021-10-08,2021-10-12,General population
Moderna,1106980,2021-10-08,2021-10-12,Long-term care
Pfizer,1421910,2021-10-08,2021-10-12,Long-term care
Johnson & Johnson,123700,2021-10-08,2021-10-12,Long-term care
Moderna,1870780,2021-10-08,2021-10-11,General population
Pfizer,3052665,2021-10-08,2021-10-11,General population
Johnson & Johnson,250100,2021-10-08,2021-10-11,General population
Moderna,1106560,2021-10-08,2021-10-11,Long-term care
Pfizer,1417230,2021-10-08,2021-10-11,Long-term care
Johnson & Johnson,123700,2021-10-08,2021-10-11,Long-term care
Moderna,1870180,2021-10-07,2021-10-08,General population
Pfizer,3026925,2021-10-07,2021-10-08,General population
Johnson & Johnson,249500,2021-10-07,2021-10-08,General population
Moderna,1105700,2021-10-07,2021-10-08,Long-term care
Pfizer,1381950,2021-10-07,2021-10-08,Long-term care
Johnson & Johnson,123600,2021-10-07,2021-10-08,Long-term care
Moderna,1869740,2021-10-06,2021-10-07,General population
Pfizer,3024585,2021-10-06,2021-10-07,General population
Johnson & Johnson,248800,2021-10-06,2021-10-07,General population
Moderna,1101300,2021-10-06,2021-10-07,Long-term care
Pfizer,1367010,2021-10-06,2021-10-07,Long-term care
Johnson & Johnson,123400,2021-10-06,2021-10-07,Long-term care
Moderna,1857400,2021-10-04,2021-10-06,General population
Pfizer,2996505,2021-10-04,2021-10-06,General population
Johnson & Johnson,246600,2021-10-04,2021-10-06,General population
Moderna,1091000,2021-10-04,2021-10-06,Long-term care
Pfizer,1359360,2021-10-04,2021-10-06,Long-term care
Johnson & Johnson,120400,2021-10-04,2021-10-06,Long-term care
Moderna,1857400,2021-10-04,2021-10-05,General population
Pfizer,2996505,2021-10-04,2021-10-05,General population
Johnson & Johnson,246600,2021-10-04,2021-10-05,General population
Moderna,1091000,2021-10-04,2021-10-05,Long-term care
Pfizer,1359360,2021-10-04,2021-10-05,Long-term care
Johnson & Johnson,120400,2021-10-04,2021-10-05,Long-term care
Moderna,1856860,2021-10-01,2021-10-04,General population
Pfizer,2981295,2021-10-01,2021-10-04,General population
Johnson & Johnson,245500,2021-10-01,2021-10-04,General population
Moderna,1089460,2021-10-01,2021-10-04,Long-term care
Pfizer,1323900,2021-10-01,2021-10-04,Long-term care
Johnson & Johnson,120400,2021-10-01,2021-10-04,Long-term care
Moderna,1854180,2021-09-30,2021-10-01,General population
Pfizer,2949705,2021-09-30,2021-10-01,General population
Johnson & Johnson,243700,2021-09-30,2021-10-01,General population
Moderna,1081100,2021-09-30,2021-10-01,Long-term care
Pfizer,1284300,2021-09-30,2021-10-01,Long-term care
Johnson & Johnson,120000,2021-09-30,2021-10-01,Long-term care
